date, pm25, pm10, o3, no2, so2, co
16-04-21,71, , , , , 
15-04-21,110,53,15,7,2,4
14-04-21,118,45,17,10,2,5
13-04-21,118,52,12,10,2,5
12-04-21,118,52,13,9,2,4
11-04-21,118,59,12,9,2,5
10-04-21,118,59,17,9,1,5
09-04-21,120,86,21,11,2,7
08-04-21,118,89,21,12,2,8
07-04-21,118,96,19,12,2,7
06-04-21,113,90,20,11,2,7
05-04-21,169,95,20,10,2,7
04-04-21,440,100,15,10,2,6
03-04-21,525,91,15,9,2,4
02-04-21,224,92,17,11,1,6
01-04-21,115,75,13,13,2,6
31-03-21,139,83,13,14,2,6
30-03-21,62,140,16,15,2,9
29-03-21,108,87,16,13,2,7
28-03-21,175,97,20,15,2,8
27-03-21,150,96,18,13,2,7
26-03-21,135,97,20,12,2,7
25-03-21,104,104,18,14,2,7
24-03-21,140,89,14,12,2,7
23-03-21,160,85,14,13,1,7
22-03-21,137,85,18,14,1,7
21-03-21,161,92,15,17,3,7
20-03-21,393,77,21,16,2,6
19-03-21,141,79,21,18,2,7
18-03-21,150,83,19,21,2,8
17-03-21,138,84,20,19,2,7
16-03-21,131,73,20,17,2,45
15-03-21,117,70,17,14,2,59
14-03-21,105,62,19,13,3,15
13-03-21,110,58,17,12,2,5
12-03-21,113,67,19,14,2,6
11-03-21,94,62,16,14,2,5
10-03-21,91,54,15,12,2,5
09-03-21,102,56,15,14,3,6
08-03-21,102,57,18,15,2,6
07-03-21,125,58,16,15,2,6
06-03-21,112,66,18,14,1,6
05-03-21,118,69,12,13,2,7
04-03-21,135,67,15,15,2,6
03-03-21,142,78,18,14,2,6
02-03-21,97,86,15,12,2,6
01-03-21,97,57,21,11,2,7
28-02-21,85,57,18,12,2,7
27-02-21,101,57,21,9,2,6
26-02-21, ,57,23,13,1,9
25-02-21,101, , , , , 
24-02-21,106,53,20,10,2,7
23-02-21,98,53,14,11,1,7
22-02-21,75,55,11,10,2,7
21-02-21,68,55,11,8,1,6
20-02-21,95,55,10,7,2,5
19-02-21,137,63,8,10,2,6
18-02-21,141,70,14,10,3,6
17-02-21,129,70,16,10,3,6
16-02-21,139,70,18,12,1,7
15-02-21,129,70,18,12,5,7
14-02-21,129,70,16,12,5,7
13-02-21,132,70,18,12,3,7
12-02-21,129,70,15,13,4,7
11-02-21,142,70,15,12,4,6
10-02-21,139,70,14,12,2,7
09-02-21,133,70,16,13,3,7
08-02-21,137,70,15,12,3,6
07-02-21,120,70,15,12,2,7
06-02-21,121,70,14,11,2,6
05-02-21,95,70,14,13,2,7
04-02-21,104,70,14,11,2,6
03-02-21,115,70,13,11,3,6
02-02-21,110,70,13,10,3,6
01-02-21,117,70,12,11,3,6
31-01-21,133,70,11,12,2,6
30-01-21,145,70,12,10,3,6
29-01-21,148,70,12,11,2,7
28-01-21,145,76,11,9,2,6
27-01-21,130,108,2,10,2,7
26-01-21,110,98,2,10,2,6
25-01-21,127,99,2,9,2,6
24-01-21,121,103,2,10,2,7
23-01-21,146,126,1,10,2,6
22-01-21,130,102,2,9,3,7
21-01-21,130,82,1,10,3,8
20-01-21,132,94,2,10,2,8
19-01-21,115,96,2,10,1,8
18-01-21,117,90,1,10,2,7
17-01-21,118,86,2,9,1,6
16-01-21,130,91,1,7,2,6
15-01-21,119,89,1,8,1,7
14-01-21,103,69,1,8,1,6
13-01-21,104,62,1,8,2,6
12-01-21,112,57,1,10,2,7
11-01-21,112,60, ,11,1,7
10-01-21,90,59,1,11,2,7
09-01-21,83,57,6,9,1,6
08-01-21,85,39,6,10,1,7
07-01-21,70,39,57,8,1,6
06-01-21,71,24,123,8,1,7
05-01-21,96,31,19,8,2,6
04-01-21,102,46,24,10,1,6
03-01-21,94,48,25,9,1,6
02-01-21,131,49,33,7,1,6
01-01-21,135,72,33,10,1,7
