date,pm25,o3,no2,so2,co,dd,mm,yy
2015-05-13,210.0,15.0,16.0,3.0,44.0,13,5,2015
2015-05-14,138.0,15.0,8.0,3.0,10.0,14,5,2015
2015-05-15,154.0,14.0,8.0,4.0,9.0,15,5,2015
2015-05-16,214.0,15.0,7.0,32.0,7.0,16,5,2015
2015-05-17,187.0,15.0,7.0,29.0,11.0,17,5,2015
2015-05-18,185.0,16.0,51.0,46.0,11.0,18,5,2015
2015-05-19,329.0,24.0,3.0,115.0,6.0,19,5,2015
2015-05-20,301.0,28.0,3.0,9.0,31.0,20,5,2015
2015-05-21,213.0,27.0,4.0,9.0,51.0,21,5,2015
2015-05-22,204.0,28.0,5.0,118.0,25.0,22,5,2015
2015-05-23,199.0,24.0,5.0,111.0,10.5,23,5,2015
2015-05-24,204.0,28.0,6.0,5.0,27.0,24,5,2015
2015-05-25,252.0,26.0,3.0,7.0,19.0,25,5,2015
2015-05-26,207.0,25.0,3.0,6.0,7.0,26,5,2015
2015-05-27,219.0,27.0,11.0,27.0,9.0,27,5,2015
2015-05-28,247.0,28.0,12.0,5.0,10.0,28,5,2015
2015-05-29,223.0,28.0,17.0,4.0,9.0,29,5,2015
2015-05-30,226.0,28.0,25.0,5.0,10.0,30,5,2015
2015-05-31,203.0,25.0,3.0,6.0,12.0,31,5,2015
2015-06-01,228.0,28.0,2.0,4.0,7.0,1,6,2015
2015-06-02,246.0,27.0,4.0,15.0,10.0,2,6,2015
2015-06-03,239.0,27.0,3.0,5.0,10.0,3,6,2015
2015-06-04,197.0,28.0,5.0,6.0,13.0,4,6,2015
2015-06-05,182.0,27.0,3.0,60.0,9.0,5,6,2015
2015-06-06,148.0,28.0,3.0,5.0,14.0,6,6,2015
2015-06-07,149.0,28.0,3.0,6.0,15.0,7,6,2015
2015-06-08,150.0,26.0,3.0,41.0,13.0,8,6,2015
2015-06-09,148.0,29.0,3.0,6.0,14.0,9,6,2015
2015-06-10,147.0,25.0,4.0,3.0,8.0,10,6,2015
2015-06-11,151.0,27.0,4.0,5.0,12.0,11,6,2015
2015-06-12,147.0,28.0,4.0,5.0,14.0,12,6,2015
2015-06-13,152.0,29.0,3.0,4.0,13.0,13,6,2015
2015-06-14,149.0,28.0,4.0,4.0,14.0,14,6,2015
2015-06-15,153.0,26.0,3.0,4.0,12.0,15,6,2015
2015-06-16,147.0,25.0,3.0,5.0,14.0,16,6,2015
2015-06-17,148.0,25.0,3.0,4.0,11.0,17,6,2015
2015-06-18,148.0,25.0,4.0,10.0,25.0,18,6,2015
2015-06-19,149.0,25.0,4.0,5.0,12.0,19,6,2015
2015-06-20,152.0,26.0,3.0,15.0,10.0,20,6,2015
2015-06-21,148.0,28.0,7.0,56.0,29.0,21,6,2015
2015-06-22,187.0,28.0,7.0,231.0,10.0,22,6,2015
2015-06-23,192.0,25.0,5.0,29.0,25.0,23,6,2015
2015-06-24,170.0,28.0,8.0,3.0,30.0,24,6,2015
2015-06-25,170.0,26.0,3.0,3.0,22.0,25,6,2015
2015-06-26,156.0,17.0,3.0,3.0,20.0,26,6,2015
2015-06-27,152.0,18.0,3.0,3.0,21.0,27,6,2015
2015-06-28,155.0,18.0,3.0,5.0,20.0,28,6,2015
2015-06-29,155.0,18.0,3.0,5.0,19.0,29,6,2015
2015-06-30,153.0,18.0,6.0,7.0,33.0,30,6,2015
2015-07-01,161.0,18.0,6.0,4.0,18.0,1,7,2015
2015-07-02,106.0,19.0,6.0,64.0,13.0,2,7,2015
2015-07-03,113.0,18.0,6.0,244.0,6.0,3,7,2015
2015-07-04,100.0,18.0,5.0,5.0,16.0,4,7,2015
2015-07-05,100.0,18.0,6.0,4.0,16.0,5,7,2015
2015-07-06,101.0,18.0,6.0,4.0,17.0,6,7,2015
2015-07-07,101.0,18.0,5.0,4.0,16.0,7,7,2015
2015-07-08,98.0,17.0,5.0,4.0,19.0,8,7,2015
2015-07-09,90.0,18.0,3.0,5.0,17.0,9,7,2015
2015-07-10,73.0,16.0,4.0,126.0,10.0,10,7,2015
2015-07-11,68.0,16.0,6.0,225.0,4.0,11,7,2015
2015-07-12,116.0,23.0,4.0,5.0,16.0,12,7,2015
2015-07-13,129.0,17.0,8.0,5.0,29.0,13,7,2015
2015-07-14,118.0,17.0,2.0,6.0,14.0,14,7,2015
2015-07-15,79.0,21.0,3.0,7.0,18.0,15,7,2015
2015-07-16,83.0,21.0,4.0,6.0,15.0,16,7,2015
2015-07-17,65.0,23.0,4.0,5.0,14.0,17,7,2015
2015-07-18,61.0,22.0,4.0,7.0,16.0,18,7,2015
2015-07-19,70.0,22.0,4.0,6.0,14.0,19,7,2015
2015-07-20,62.0,23.0,4.0,6.0,14.0,20,7,2015
2015-07-21,63.0,18.0,4.0,6.0,14.0,21,7,2015
2015-07-22,58.0,22.0,16.0,7.0,58.0,22,7,2015
2015-07-23,176.0,21.0,8.0,6.0,21.0,23,7,2015
2015-07-24,173.0,22.0,6.0,3.0,14.0,24,7,2015
2015-07-25,107.0,24.0,4.0,6.0,13.0,25,7,2015
2015-07-26,91.0,21.0,4.0,5.0,15.0,26,7,2015
2015-07-27,121.0,22.0,3.0,6.0,13.0,27,7,2015
2015-07-28,106.0,22.0,4.0,4.0,14.0,28,7,2015
2015-07-29,101.0,18.0,5.0,5.0,14.0,29,7,2015
2015-07-30,96.0,18.0,5.0,4.0,17.0,30,7,2015
2015-07-31,132.0,18.0,21.0,6.0,86.0,31,7,2015
2015-08-01,209.0,1.0,5.0,105.0,24.0,1,8,2015
