date, pm25, pm10, o3, no2, so2, co
16-04-21,22, , , , , 
15-04-21,68, ,2,2,19,6
14-04-21,90,29,5,2,20,5
13-04-21,105,44,1,2,22,5
12-04-21,80,43,1,1,19,6
11-04-21,120,36,2,1,16,6
10-04-21,116,57,1,1,18,6
09-04-21,117,64,1,2,17,6
08-04-21, ,65,4,2,15,5
07-04-21, ,75,4,2,16,6
06-04-21,1,68,4,2,14,6
05-04-21,135,61,5,1,14,6
04-04-21,233,71,4,2,13,5
03-04-21,122,66,6,2,13,6
02-04-21,123,76,6,2,13,6
01-04-21,87,73,11,3,13,6
31-03-21,88,60,6,2,13,6
30-03-21, ,70,6,2,13,5
28-03-21,240, , , , , 
27-03-21,287,62,1,7,14,6
26-03-21,116,71,3,3,14,6
25-03-21,138,84,6,3,11,5
24-03-21,337,95,10,3,12,6
23-03-21,148,106,5,3,11,6
22-03-21,111,101,4,3,14,5
21-03-21,113,86,2,4,14,6
20-03-21,303,90,4,2,14,6
19-03-21,108,129,4,2,15,6
18-03-21,113,128,5,3,14,6
17-03-21,90,71,5,2,15,5
16-03-21,74, ,2,3,16,6
15-03-21,77, ,4,3,14,6
14-03-21,107, ,5,2,14,6
13-03-21,145, ,3,2,14,6
12-03-21,73, ,4,1,14,6
11-03-21,52, ,2,1,14,6
10-03-21,78, ,2,1,13,6
09-03-21,102, ,2,2,15,6
08-03-21,93, ,2,1,16,6
07-03-21,834, ,1,2,15,6
06-03-21,225, ,1, ,18,6
05-03-21,108, ,4,2,15,6
04-03-21,144, ,5,4,15,6
03-03-21,139, ,2,1,16,6
02-03-21,102, ,4,2,14,6
01-03-21,78, ,3,2,13,5
28-02-21,75, ,2,2,14,6
27-02-21,87, ,3,2,13,6
26-02-21,115, ,1,6,12,6
25-02-21,110, ,4,3,11,6
24-02-21,340, ,5,2,10,6
23-02-21,345, ,4,17,9,6
22-02-21,87, ,8,22,4,6
21-02-21,51, ,8,9,2,6
20-02-21,73, ,12,5,2,6
19-02-21,141, ,7,5,2,6
18-02-21,151, ,8,4,1,5
17-02-21,151, ,10,5,2,6
16-02-21,123, ,6,5,2,6
15-02-21,112, ,8,4,1,5
14-02-21,110, ,7,5,2,6
13-02-21,113, ,4,5,2,6
12-02-21,115, ,6,5,2,6
11-02-21,103, ,12,5,2,6
10-02-21,150, ,4,4,1,5
09-02-21,150, ,11,5,2,6
08-02-21,124, ,16,5,2,6
07-02-21,176, ,15,5,2,6
06-02-21,149, ,9,5,2,6
05-02-21,127, ,16,5,2,6
04-02-21,95, ,14,5,2,6
03-02-21,124, ,12,4,1,5
02-02-21,124, ,15,5,2,6
01-02-21,118, ,10,5,2,6
31-01-21,123, ,7,4,2,5
30-01-21,105, ,8,4,3,5
29-01-21,84, ,12,5,3,6
28-01-21,129, ,6,4,3,5
27-01-21,105, ,8,6,4,6
26-01-21,91, ,10,5,4,6
25-01-21,80, ,5,5,4,6
24-01-21,83, ,3,5,4,6
23-01-21,79, ,4,5,4,6
22-01-21,70, ,3,5,4,6
21-01-21,103, ,2,4,3,5
20-01-21,155, ,3,5,4,6
19-01-21,157, ,5,4,3,5
18-01-21,149, ,8,5,4,6
17-01-21,131, ,7,5,4,6
16-01-21,132, ,11,5,4,6
15-01-21,146, ,7,4,3,5
14-01-21,138, ,7,5,4,6
13-01-21,148, ,6,4,3,5
12-01-21,129, ,5,5,4,6
11-01-21,133, ,8,5,3,6
10-01-21,135, ,8,4,2,5
09-01-21,106, ,9,5,3,6
08-01-21,66, ,8,5,3,6
07-01-21,56, ,7,4,2,5
06-01-21,38, ,8,5,2,5
05-01-21,32, ,6,5,3,6
04-01-21,54, ,1,4,3,5
03-01-21,57, ,8,5,4,6
02-01-21,66, ,5,5,4,6
01-01-21,70, ,3,5,4,6
31-12-20,68, ,8,5,4,6
30-12-20,67, ,8,5,4,6
29-12-20,75, ,7,5,4,6
28-12-20,115, ,8,4,3,5
27-12-20,134, ,7,4,3,5
26-12-20,107, ,8,5,4,6
25-12-20,148, ,7,5,4,6
24-12-20,124, ,1,5,4,6
23-12-20,126, ,8,5,4,6
22-12-20,120, ,7,14,3,5
21-12-20,117, ,8,9,3,5
20-12-20,128, ,8,10,4,6
19-12-20,117, ,8,10,4,6
18-12-20,105, ,7,8,4,6
17-12-20,88, ,7,7,4,6
16-12-20,120, ,8,7,3,5
15-12-20,116, ,5,6,4,9
14-12-20, , ,6,4,6,10
11-12-20,87, , , , , 
10-12-20,77, ,4,2,1,5
