date,pm25,pm10,o3,no2,so2,co
2015-05-13, , ,15,16,3,44
2015-05-14,138, ,15,8,3,10
2015-05-15,154, ,14,8,4,9
2015-05-16,214, ,15,7,32,7
2015-05-17,187, ,15,7,29,11
2015-05-18,185, ,16,51,46,11
2015-05-19,329, ,24,3,115,6
2015-05-20,301, ,28,3,9,31
2015-05-21,213, ,27,4,9,51
2015-05-22,204, ,28,5,118,25
2015-05-23,199, ,24,5,111, 
2015-05-24,204, ,28,6,5,27
2015-05-25,252, ,26,3,7,19
2015-05-26,207, ,25,3,6,7
2015-05-27,219, ,27,11,27,9
2015-05-28,247, ,28,12,5,10
2015-05-29,223, ,28,17,4,9
2015-05-30,226, ,28,25,5,10
2015-05-31,203, ,25,3,6,12
2015-06-01,228, ,28,2,4,7
2015-06-02,246, ,27,4,15,10
2015-06-03,239, ,27,3,5,10
2015-06-04,197, ,28,5,6,13
2015-06-05,182, ,27,3,60,9
2015-06-06,148, ,28,3,5,14
2015-06-07,149, ,28,3,6,15
2015-06-08,150, ,26,3,41,13
2015-06-09,148, ,29,3,6,14
2015-06-10,147, ,25,4,3,8
2015-06-11,151, ,27,4,5,12
2015-06-12,147, ,28,4,5,14
2015-06-13,152, ,29,3,4,13
2015-06-14,149, ,28,4,4,14
2015-06-15,153, ,26,3,4,12
2015-06-16,147, ,25,3,5,14
2015-06-17,148, ,25,3,4,11
2015-06-18,148, ,25,4,10,25
2015-06-19,149, ,25,4,5,12
2015-06-20,152, ,26,3,15,10
2015-06-21,148, ,28,7,56,29
2015-06-22,187, ,28,7,231,10
2015-06-23,192, ,25,5,29,25
2015-06-24,170, ,28,8,3,30
2015-06-25,170, ,26,3,3,22
2015-06-26,156, ,17,3,3,20
2015-06-27,152, ,18,3,3,21
2015-06-28,155, ,18,3,5,20
2015-06-29,155, ,18,3,5,19
2015-06-30,153, ,18,6,7,33
2015-07-01,161, ,18,6,4,18
2015-07-02,106, ,19,6,64,13
2015-07-03,113, ,18,6,244,6
2015-07-04,100, ,18,5,5,16
2015-07-05,100, ,18,6,4,16
2015-07-06,101, ,18,6,4,17
2015-07-07,101, ,18,5,4,16
2015-07-08,98, ,17,5,4,19
2015-07-09,90, ,18,3,5,17
2015-07-10,73, ,16,4,126,10
2015-07-11,68, ,16,6,225,4
2015-07-12,116, ,23,4,5,16
2015-07-13,129, ,17,8,5,29
2015-07-14,118, ,17,2,6,14
2015-07-15,79, ,21,3,7,18
2015-07-16,83, ,21,4,6,15
2015-07-17,65, ,23,4,5,14
2015-07-18,61, ,22,4,7,16
2015-07-19,70, ,22,4,6,14
2015-07-20,62, ,23,4,6,14
2015-07-21,63, ,18,4,6,14
2015-07-22,58, ,22,16,7,58
2015-07-23,176, ,21,8,6,21
2015-07-24,173, ,22,6,3,14
2015-07-25,107, ,24,4,6,13
2015-07-26,91, ,21,4,5,15
2015-07-27,121, ,22,3,6,13
2015-07-28,106, ,22,4,4,14
2015-07-29,101, ,18,5,5,14
2015-07-30,96, ,18,5,4,17
2015-07-31,132, ,18,21,6,86
2015-08-01,209, ,1,5,105,24
2015-08-02,116, ,1,4,3,15
2015-08-03,117, ,1,4,3,17
2015-08-04,125, ,1,5,3,15
2015-08-05,107, ,1,4,5,14
2015-08-06,103, ,1,4,4,14
2015-08-07,127, ,2,4,5,11
2015-08-08,126, ,1,4,4,12
2015-08-09,121, ,1,4,5,11
2015-08-10,115, ,1,4,5,12
2015-08-11,135, ,1,4,5,11
2015-08-12,123, ,1,4,3,13
2015-08-13,136, ,1,4,6,11
2015-08-14,111, ,1,4,5,9
2015-08-15,88, ,1,5,6,10
2015-08-16,94, ,1,4,2,13
2015-08-17,121, ,1,5,5,11
2015-08-18,112, ,2,6,5,13
2015-08-19,134, , , , , 
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-22,,,,,,
2015-08-23,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-29,,,,,,
2015-08-30,,,,,,
2015-08-31,,,,,,
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-05,,,,,,
2015-09-06,,,,,,
2015-09-07,,,,,,
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,,,,,,
2015-09-12,,,,,,
2015-09-13,,,,,,
2015-09-14,,,,,,
2015-09-15,,,,,,
2015-09-16,,,,,,
2015-09-17,,,,,,
2015-09-18,,,,,,
2015-09-19,,,,,,
2015-09-20,,,,,,
2015-09-21,,,,,,
2015-09-22,,,,,,
2015-09-23,,,,,,
2015-09-24,,,,,,
2015-09-25,,,,,,
2015-09-26,,,,,,
2015-09-27,,,,,,
2015-09-28,,,,,,
2015-09-29,,,,,,
2015-09-30,,,,,,
2015-10-01,,,,,,
2015-10-02,,,,,,
2015-10-03,,,,,,
2015-10-04,,,,,,
2015-10-05,,,,,,
2015-10-06,,,,,,
2015-10-07,,,,,,
2015-10-08,,,,,,
2015-10-09,,,,,,
2015-10-10,,,,,,
2015-10-11,,,,,,
2015-10-12,,,,,,
2015-10-13,,,,,,
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-16,,,,,,
2015-10-17,,,,,,
2015-10-18,,,,,,
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-22,,,,,,
2015-10-23,,,,,,
2015-10-24,,,,,,
2015-10-25,,,,,,
2015-10-26,,,,,,
2015-10-27,,,,,,
2015-10-28,,,,,,
2015-10-29,,,,,,
2015-10-30,,,,,,
2015-10-31,,,,,,
2015-11-01,,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-07,,,,,,
2015-11-08,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-13,,,,,,
2015-11-14,,,,,,
2015-11-15,,,,,,
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-20,,,,,,
2015-11-21,,,,,,
2015-11-22,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-26,,,,,,
2015-11-27,,,,,,
2015-11-28,,,,,,
2015-11-29,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-05,,,,,,
2015-12-06,,,,,,
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-11,,,,,,
2015-12-12,,,,,,
2015-12-13,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-19,,,,,,
2015-12-20,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,,,,,,
2015-12-25,,,,,,
2015-12-26,,,,,,
2015-12-27,,,,,,
2015-12-28,,,,,,
2015-12-29, , ,12,7, ,5
2015-12-30,142, ,2,15, ,6
2015-12-31,197, ,23,17, ,5
2016-01-01,152, , , , , 
2016-01-02,,,,,,
2016-01-03, , ,18,12, ,5
2016-01-04,116, ,17,20, ,6
2016-01-05,144, ,21,23, ,5
2016-01-06,163, ,9,13, ,4
2016-01-07,108, ,71,25,2,5
2016-01-08,155, ,41,22, ,5
2016-01-09,141, ,17,21, ,4
2016-01-10,149, ,113,20, ,4
2016-01-11,147, ,20,24, ,5
2016-01-12,161, ,19,24, ,4
2016-01-13,146, ,55,25, ,6
2016-01-14,210, ,23,11,2,6
2016-01-15,131, ,49,11,1,7
2016-01-16,159, ,36,9,1,7
2016-01-17,154, ,29,10,1,7
2016-01-18,163, ,360,9,1,8
2016-01-19,141, ,14,9, ,7
2016-01-20,171, ,23,8,1,6
2016-01-21,168, ,18,8,1,6
2016-01-22,176, ,22,8,1,5
2016-01-23,164, ,40,5, ,5
2016-01-24,160, ,16,6,1,8
2016-01-25,153, ,15,6, ,7
2016-01-26,155, ,18,6, ,7
2016-01-27,149, ,16,8,1,7
2016-01-28,157, ,12,7,1,6
2016-01-29,152, ,9,8,1,8
2016-01-30,165, ,24,6,1,7
2016-01-31,272, ,64,8,1,7
2016-02-01,213, ,16,7,1,9
2016-02-02,103, ,15,7, ,8
2016-02-03,170, ,14,8, ,7
2016-02-04,211, ,15,7, ,5
2016-02-05,277, ,8,7, ,9
2016-02-06,172, ,10,7, ,8
2016-02-07,182, ,10,6, ,7
2016-02-08,208, ,15,7, ,12
2016-02-09,246, ,18,7, ,10
2016-02-10,200, ,23,6, ,124
2016-02-11,197, ,70,10, ,2
2016-02-12, , ,16,7, ,3
2016-02-13, , ,15,6, ,6
2016-02-14, , ,13,6, ,9
2016-02-15,117, ,235,6, ,8
2016-02-16,165, ,27,7, ,3
2016-02-17,155, ,19,6, ,4
2016-02-18,137, ,57,7, ,4
