date, pm25, pm10, o3, no2, so2, co
16-04-21,161, , , , , 
15-04-21,150,142,3,28,12,13
14-04-21,138,161,43,26,14,15
13-04-21,158,124,43,21,16,12
12-04-21,167,155,43,25,17,14
11-04-21,150,180,59,28,15,15
10-04-21,139,151,50,26,14,17
09-04-21,134,125,46,28,10,14
08-04-21,122,143,42,26,11,16
07-04-21,146,103,47,21,12,15
06-04-21,181,184,51,18,11,12
05-04-21,161,201,91,34,14,13
04-04-21,146,197,50,41,12,18
03-04-21,142,138,47,26,12,14
02-04-21,137,129,55,28,15,18
01-04-21,120,238,53,17,20,11
31-03-21,86,125,43,10,17,11
30-03-21,97,102,42,10,11,11
29-03-21, ,517,39,5,5,10
28-03-21,155, , , , , 
27-03-21,169,120,81,21,10,14
26-03-21,165,144,72,25,13,15
25-03-21,140,139,61,19,19,15
24-03-21,146,92,43,13,12,12
23-03-21,169,105,56,17,13,11
22-03-21,167,179,25,21,12,11
21-03-21,173,152,35,26,13,12
20-03-21,191,145,59,25,13,12
19-03-21,190,186,54,24,18,15
18-03-21,215,183,54,23,15,14
17-03-21,198,265,25,26,16,17
16-03-21,204,216,28,23,16,14
15-03-21,179,238,29,20,16,12
14-03-21,172,148,30,23,13,12
13-03-21,165,123,34,22,14,13
12-03-21,146,113,42,24,14,15
11-03-21,194,110,22,19,8,10
10-03-21,143,161,37,24,15,17
09-03-21,182,111,42,24,13,14
08-03-21,179,163,25,24,10,12
07-03-21,182,149,31,21,12,13
06-03-21,193,143,33,26,12,11
05-03-21,180,134,39,16,18,12
04-03-21,179,139,30,21,11,10
03-03-21,172,187,34,30,14,20
02-03-21,143,160,32,22,20,16
01-03-21,142,113,33,17,12,11
28-02-21,152,110,30,24,12,11
27-02-21,151,125,29,24,12,11
26-02-21,181,150,20,18,12,18
25-02-21,194,155,23,23,16,17
24-02-21,172,145,25,26,13,15
23-02-21,198,162,30,26,12,17
22-02-21,205,205,27,28,14,20
21-02-21,239,144,27,26,12,15
20-02-21,213,172,32,24,12,15
19-02-21,248,159,22,22,10,17
18-02-21,229,180,22,30,11,19
17-02-21,253,192,30,29,11,19
16-02-21,250,212,34,29,12,20
15-02-21,231,204,34,29,12,18
14-02-21,265,165,32,24,9,21
13-02-21,246,203,37,24,10,25
12-02-21,314,183,32,26,10,18
11-02-21,267,249,33,26,14,22
10-02-21,231,191,36,28,12,17
09-02-21,190,162,35,26,11,18
08-02-21,254,151,19,25,13,30
07-02-21,232,163,34,25,11,17
06-02-21,174,152,31,22,11,17
05-02-21,171,105,22,21,8,11
04-02-21,195,94,25,22,3,19
03-02-21,230,128,14,25,6,13
02-02-21,273,166,24,26,10,13
01-02-21,299,222,40,30,12,18
31-01-21,251,236,36,25,8,28
30-01-21,217,195,44,24,10,21
29-01-21,285,144,33,32,8,17
28-01-21,366,200,39,27,6,13
27-01-21,253,302,27,31,13,21
26-01-21,279,197,38,22,8,18
25-01-21,256,184,41,18,7,12
24-01-21,310,181,28,15,6,18
23-01-21,235,193,13,16,5,14
22-01-21,289,142,26,17,5,14
21-01-21,228,172,16,19,5,14
20-01-21,199,146,38,20,6,18
19-01-21,333,108,22,14,4,12
18-01-21,319,242,14,14,4,13
17-01-21,308,238,17,19,8,24
16-01-21,350,176,16,18,5,13
15-01-21,496,241,31,26,5,14
14-01-21,541,473,28,9,16,28
13-01-21,410,541,19,8,8,26
12-01-21,285,336,34,10,8,23
11-01-21,197,200,36,18,7,19
10-01-21,203,110,35,14,5,11
09-01-21,223,111,30,11,5,11
08-01-21,231,126,23,16,7,11
07-01-21,201,135,11,19,4,12
06-01-21,221,104,27,12,5,12
05-01-21,157,106,9,18,6,12
04-01-21,180,67,5,22,6,13
03-01-21,309,74,10,16,5,14
02-01-21,364,180,3,21,6,11
01-01-21,431,268,15,30,7,14
31-12-20,297,364,29,29,7,22
30-12-20,224,179,23,23,6,17
29-12-20,210,137,29,18,5,13
28-12-20,173,170,38,23,6,13
27-12-20,355,154,31,22,7,15
26-12-20,323,292,43,22,7,13
25-12-20,305,267,41,13,9,20
24-12-20,385,235,39,2,8,17
23-12-20,410,337,34,3,10,20
22-12-20,368,353,40,3,11,27
21-12-20,252,306,39,2,11,23
20-12-20,224,180,47,3,12,18
19-12-20,229,144,44,4,7,14
18-12-20,192,149,48,5,6,13
17-12-20,192,123,38,4,4,15
16-12-20,178,132,24,2,4,13
15-12-20,194,112,24,2,3,11
14-12-20,166,114,27,8,12,12
13-12-20,184,84,32,13,3,12
12-12-20,288,105,25,14,3,9
11-12-20,222,212,15,20,4,16
10-12-20,217,152,18,32,5,15
09-12-20,265,154,26,26,9,18
08-12-20,301,195,44,18,8,18
07-12-20,372,215,54,2,6,20
06-12-20,297,281,46,4,8,20
05-12-20,328,194,53,11,2,17
04-12-20,297,226,47,28,5,19
03-12-20,272,216,51,32,6,21
02-12-20,272,200,60,34,8,20
01-12-20,306,180,57,37,5,15
30-11-20,259,229,60,37,9,20
29-11-20,206,185,61,29,7,19
28-11-20,193,139,61,29,7,17
27-11-20,155,124,51,25,6,16
26-11-20,187,90,33,22,5,14
25-11-20,324,111,28,24,5,13
24-11-20,285,248,28,39,5,15
23-11-20,267,219,58,38,7,20
22-11-20,221,213,45,41,8,21
21-11-20,194,149,51,25,7,17
20-11-20,221,124,47,24,5,12
19-11-20,202,141,53,32,4,13
18-11-20,192,130,57,31,6,16
17-11-20,166,113,59,26,5,16
16-11-20,169,95,34,22,5,13
15-11-20,377,84,31,15,5,13
14-11-20,451,342,57,19,3,10
13-11-20,257,427,43,37,7,19
12-11-20,224,213,51,38,6,18
11-11-20,240,165,38,38,6,21
10-11-20,493,181,29,14,9,23
09-11-20,518,567,39,56,10,25
08-11-20,372,590,38,74,14,19
07-11-20,370,361,46,64,21,14
06-11-20,287,374,57,59,14,6
05-11-20,343,256,26,84,14,9
04-11-20,344,315,44,41,10,16
03-11-20,201,351,22,38,7,12
02-11-20,214,175,35,27,8,20
01-11-20,297,185,42,27,9,16
31-10-20,318,281,52,25,8,9
30-10-20,265,310,50,28,6,7
29-10-20,291,222,45,32,5,7
28-10-20,247,264,36,53,12,14
27-10-20,236,226,53,30,7,11
26-10-20,221,192,36,21,4,10
25-10-20,225,185,64,36,8,6
24-10-20,225,180,85,35,7,23
23-10-20,269,187,80,32,10,12
22-10-20,223,277,58,25,7,18
21-10-20,177,183,90,16,8,34
20-10-20,184,136,37,11,7,13
19-10-20,183,140,65,18,7,9
18-10-20,178,132,70,17,7,6
17-10-20,197,131,62,16,7,6
16-10-20,190,145,82,19,7,9
15-10-20,193,142,40,19,7,11
14-10-20,198,141,55,15,7,9
13-10-20,192,176,49,15,7,11
12-10-20,237,138,54,11,7,11
11-10-20,177,147,91,30,7,11
10-10-20,173,121,76,33,7,7
09-10-20,168,119,81,33,7,17
08-10-20,167,116,54,36,7,21
07-10-20,171,112,73,32,7,19
06-10-20,159,119,69,33,7,5
05-10-20,159,112,63,28,7,8
04-10-20,160,109,65,27,7,5
03-10-20,161,102,76,28,7,5
02-10-20,162,100,66,29,7,6
01-10-20,153,104,60,29,7,4
30-09-20,149,101,51,29,7,6
29-09-20,155,94,52,27,7,4
28-09-20,154,102,46,27,7,2
27-09-20,115,94,43,27,7,2
26-09-20,143,72,47,20,7,5
25-09-20,133,86,18,25,7,3
24-09-20,108,74,59,20,7,5
23-09-20,74,55,60,20,7,5
22-09-20,98,48,27,18,7,3
21-09-20,147,55,27,22,7,3
20-09-20,150,78,71,24,7,3
19-09-20,138,77,44,22,7,3
18-09-20,104,70,46,24,7,4
17-09-20,122,64,29,18,7,2
16-09-20,153,75,34,20,7,4
15-09-20,149,90,40,23,7,5
14-09-20,165,80,52,23,7,23
13-09-20,190,89,16,24,7,38
12-09-20, ,80,6,21,7,8
11-09-20,130,84,18,36,7,8
10-09-20,106,82,22,30,7,8
09-09-20,105,142,9,6,6,5
08-09-20,68,69,8,11,7,5
07-09-20,89,47,11,10,7,5
06-09-20,61,58,7,14,7,5
05-09-20,60,40,16,12,6,4
04-09-20,70,37,14,13,7,4
03-09-20,59,55,7,8,7,8
02-09-20,47,55,11,9,6,17
01-09-20,39,38,19,12,7,40
31-08-20, ,34,9,9,9,10
30-08-20,91,30,8,8,6,5
29-08-20,96,42,6,9,9,5
28-08-20,61,59,11,14,8,8
27-08-20,49,46,8,15,8,8
26-08-20,47,41,11,12,3,6
25-08-20,46,38,8,11,3,5
24-08-20, ,37,82,10,3,4
23-08-20, , ,79, ,1, 
22-08-20,45, ,77, ,1, 
21-08-20,47,35,72,1,3,23
20-08-20,38,35,8, ,4,11
19-08-20,39,25,8,2,5,28
18-08-20,24,28,4,6,3,81
17-08-20, ,22,5,22,4,29
14-08-20,27, , , , , 
13-08-20,28,23,7,9,4,5
12-08-20,62,18,5,12,5,6
11-08-20,76,38,9,11,4,5
10-08-20,48,47,10,14,4,7
09-08-20,54,33,7,10,4,6
08-08-20,80,33,8,15,4,7
07-08-20,46,55,15,17,4,7
06-08-20,48,35,8,12,4,5
05-08-20,58,40,6,10,4,4
04-08-20,52,47,5,17,4,7
03-08-20,56,43,10,15,4,5
02-08-20,55,51,6,15,5,5
01-08-20,65,46,5,13,4,7
31-07-20,65,51,15,10,5,5
30-07-20,47,53,7,17,3,6
29-07-20,59,34,8,15,5,5
28-07-20,62,49,5,15,5,5
27-07-20,73,56,7,21,5,6
26-07-20,72,61,7,19,3,4
25-07-20,59,60,8,26,5,8
24-07-20,56,46,5,17,3,5
23-07-20,47,59,6,27,4,5
22-07-20,26,52,9,26,5,7
21-07-20,34,31,4,13,3,4
20-07-20,50,31,5,20,4,4
19-07-20,48,33,7,18,4,5
18-07-20,75,38,7,14,5,7
17-07-20,77,64,6,12,4,6
16-07-20,66,61,5,14,4,6
15-07-20,90,55,5,13,4,6
14-07-20,116,73,6,13,4,5
13-07-20,99,100,7,21,4,5
12-07-20,57,78,6,20,4,5
11-07-20,62,41,5,15,4,4
10-07-20,69,44,4,13,4,5
09-07-20,65,53,5,9,4,5
08-07-20,42,45,3,5,4,6
07-07-20,47,30,3,6,4,5
06-07-20,73,27,3,7,4,4
05-07-20,61,67,3,9,4,6
04-07-20,77,45,4,9,6,6
03-07-20,111,59,5,2,7,7
02-07-20,112,80,8,8,6,8
01-07-20,91,77,7,13,7,8
30-06-20,72,70,6,9,7,8
29-06-20,97,58,4,7,6,6
28-06-20,151,84,4,12,5,6
27-06-20,104,164,4,12,7,7
26-06-20,72,85,3,12,7,6
25-06-20,54,65,15,15,7,7
24-06-20,45,49,4,15,6,8
23-06-20,48,44,7,9,4,7
22-06-20,52,43,4,7,3,6
21-06-20,71,52,7,14,4,7
20-06-20,75,62,10,14,5,6
19-06-20,112,70,10,12,5,6
18-06-20,64,120,13,5,4,6
17-06-20,63,58,9,4,4,7
