date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-01-18,277.0,515.0,5.0,15.0,4.0,9.0,18,1,2018
2018-01-19,437.0,438.0,5.0,15.0,4.0,9.0,19,1,2018
2018-01-20,350.0,321.0,5.0,15.0,4.0,9.0,20,1,2018
2018-01-21,277.0,321.0,5.0,15.0,4.0,9.0,21,1,2018
2018-01-22,277.0,317.0,5.0,15.0,4.0,9.0,22,1,2018
2018-01-23,314.0,212.0,4.0,13.0,4.0,9.0,23,1,2018
2018-01-24,274.0,207.0,2.0,17.0,2.0,8.0,24,1,2018
2018-01-25,260.0,182.0,4.0,9.0,1.0,6.0,25,1,2018
2018-01-26,268.0,330.0,6.0,13.0,2.0,13.0,26,1,2018
2018-01-27,313.0,250.0,5.0,12.0,1.0,11.0,27,1,2018
2018-01-28,267.0,448.0,1.0,17.0,6.0,12.0,28,1,2018
2018-01-29,398.0,325.0,6.0,15.0,8.0,8.0,29,1,2018
2018-01-30,277.0,218.0,6.0,15.0,4.0,7.0,30,1,2018
2018-01-31,241.0,391.0,10.0,18.0,17.0,13.0,31,1,2018
2018-02-01,325.0,277.0,11.0,15.0,5.0,10.0,1,2,2018
2018-02-02,251.0,242.0,18.0,15.0,7.0,9.0,2,2,2018
2018-02-03,222.0,234.0,22.0,15.0,5.0,9.0,3,2,2018
2018-02-04,240.0,304.0,20.0,18.0,8.0,10.0,4,2,2018
2018-02-05,275.0,247.0,18.0,15.0,4.0,8.0,5,2,2018
2018-02-06,232.0,207.0,22.0,17.0,4.0,9.0,6,2,2018
2018-02-07,218.0,330.0,27.0,17.0,6.0,13.0,7,2,2018
2018-02-08,278.0,387.0,32.0,18.0,9.0,12.0,8,2,2018
2018-02-09,325.0,490.0,27.0,19.0,7.0,24.0,9,2,2018
2018-02-10,316.0,361.0,19.0,23.0,9.0,10.0,10,2,2018
2018-02-11,228.0,291.0,13.0,19.0,6.0,6.0,11,2,2018
2018-02-12,180.0,181.0,24.0,16.0,6.0,10.0,12,2,2018
2018-02-13,208.0,130.0,23.0,12.0,4.0,4.0,13,2,2018
