date, pm25, pm10, o3, no2, so2, co
16-04-21,172, , , , , 
15-04-21,165,221,1,20,5,8
14-04-21,140,184,19,20,6,8
13-04-21,179,145,18,21,5,7
12-04-21,184,212,20,23,7,9
11-04-21,146,225,24,24,7,10
10-04-21,150,144,22,21,5,9
09-04-21,124,150,24,22,4,9
08-04-21,124,136,18,21,3,9
07-04-21,150,113,20,18,3,8
06-04-21,197,175,24,17,3,7
05-04-21,165,317,37,25,6,10
04-04-21,146, ,29,24,6,10
03-04-21,138, ,21,20,5,8
02-04-21,130, ,22,20,5,9
01-04-21,76, ,15,16,5,7
31-03-21, , ,13,14,2,6
28-03-21,182, , , , , 
27-03-21,193, ,20,17,4,8
26-03-21,145, ,15,21,6,11
25-03-21,123,60,12,15,3,8
24-03-21,154,62,7,13,3,6
23-03-21,141,77,15,16,6,7
22-03-21,159,112,4,14,3,7
21-03-21,209,128,7,17,4,10
20-03-21,197,144,16,17,7,10
19-03-21,148,125,14,18,5,10
18-03-21, ,115,14,18,4,10
17-03-21,207,200,17,20,4,11
16-03-21,189,203,9,18,6,9
15-03-21,188,189,4,14,4,9
14-03-21,171,147,8,15,5,9
13-03-21,194,118,9,10,5,9
12-03-21,147,157,8,7,4,11
11-03-21,183,147,4,6,3,8
10-03-21,161,182,2,11,4,12
09-03-21,209,126,1,16,3,11
08-03-21,177,220,2,38,7,12
07-03-21,172,155,2,38,8,11
06-03-21,177,146,3,39,11,16
05-03-21,165,111,2,40,10,11
04-03-21,219,116,3,40,10,11
03-03-21,201,167,5,43,13,21
02-03-21,139,122,3,35,10,10
01-03-21,145,101,3,35,8,8
28-02-21,149,101,5,35,7,9
27-02-21,145,107,3,36,9,10
26-02-21,201,125,3,34,10,12
25-02-21,243,206,4,37,10,14
24-02-21,270,261,3,40,8,21
23-02-21,246,348,9,44,13,26
22-02-21,240,291,2,37,11,20
21-02-21,257,218,2,35,7,15
20-02-21,201,213,2,33,7,15
19-02-21,261,163,4,31,7,17
18-02-21,208,252,7,27,7,19
17-02-21,202,174,10,23,6,17
16-02-21,236,167,14,28,10,16
15-02-21,239,173,4,29,8,15
14-02-21,310,163,15,26,7,18
13-02-21,309,347,4,27,7,30
12-02-21,314,290,6,29,7,25
11-02-21,248,257,6,28,7,18
10-02-21,288,191,6,28,10,17
09-02-21,202,288,7,30,15,19
08-02-21,298,205,8,46,13,19
07-02-21,212,239,3,34,15,16
06-02-21,185,144,4,33,11,14
05-02-21,150,119,3,31,12,11
04-02-21,212,105,6,29,25,12
03-02-21,265,139,2,31,9,12
02-02-21,350,231,2,36,14,17
01-02-21,360,421,5,47,19,24
31-01-21,305,409,4,46,16,25
30-01-21,291,341,6,40,15,22
29-01-21,316,279,2,39,12,20
28-01-21,337,325,3,41,12,16
27-01-21,233,337,11,40,14,21
26-01-21,287,232,53,37,13,20
25-01-21,236,228,54,31,11,13
24-01-21,315,192,17,26,10,18
23-01-21,262,257,14,27,9,17
22-01-21,380,206,16,30,9,14
21-01-21,341,408,5,36,10,25
20-01-21,202,407,7,43,18,24
19-01-21,329,144,9,23,8,13
18-01-21,322,317,6,29,10,21
17-01-21,305,551,7,30,11,49
16-01-21,310,526,8,25,8, 
15-01-21,506,484,4,32,9,1
14-01-21,437, ,25,46,12,51
13-01-21,280,198,24,37,10,59
12-01-21,246,185,17,30,10,20
11-01-21,189,152,17,28,6,28
10-01-21,158,132,7,24,8,19
09-01-21,166,117,8,19,6,16
08-01-21,170,143,8,23,9,23
07-01-21,156,157,9,23,8,26
06-01-21,168,112,9,20,7,22
05-01-21,118,118,19,22,9,26
04-01-21,137,70,23,23,8,23
03-01-21,175,106,11,27,9,25
02-01-21,292,168,7,26,10,35
01-01-21,370,541,11,42,12,49
31-12-20,230,716,11,43,13,69
30-12-20,176,350,8,36,10,42
29-12-20,174,171,10,26,8,34
28-12-20,155,178,14,32,10,30
27-12-20,221,162,8,26,11,17
26-12-20,214,250,13,35,12,13
25-12-20,194,209,11,36,11,14
24-12-20,271,191,8,33,11,13
23-12-20,297,320,10,37,12,32
22-12-20,289,394,13,39,16,41
21-12-20,206,508,14,41,14,37
20-12-20,188,326,20,36,16,28
19-12-20,183,255,14,28,10,18
18-12-20,158,255,16,29,10,18
17-12-20,164,165,16,25,9,16
16-12-20,151,144,11,17,8,14
15-12-20,155,130,11,19,9,14
14-12-20,131,125,11,18,13,13
13-12-20,148,100,10,15,9,12
12-12-20,196,98,10,16,7,14
11-12-20,178,147,15,19,8,20
10-12-20,170,171,18,33,11,22
09-12-20,220,141,25,24,12,20
08-12-20,225,272,17,33,13,33
07-12-20,231,260,22,31,12,29
06-12-20,210,223,18,30,10,27
05-12-20,227,198,18,30,11,24
04-12-20,247,350,21,32,11,27
03-12-20,207,469,31,42,13,38
02-12-20,203,339,23,36,16,29
01-12-20,226,175,15,35,14,25
30-11-20,184,176,16,38,15,26
29-11-20,169,159,17,36,13,19
28-11-20,151,101,26,27,20,17
27-11-20,126,95,13,27,12,16
26-11-20,130,84,10,21,9,14
25-11-20,252,123,10,20,11,16
24-11-20,255,433,26,34,19,28
23-11-20,222,488,11,41,14,35
22-11-20,167,418,20,39,16,33
21-11-20,146,212,17,28,15,21
20-11-20,163,159,18,25,12,18
19-11-20,168,176,20,26,10,18
18-11-20,152,200,22,30,11,20
17-11-20,127,99,24,23,9,17
16-11-20,131,73,10,20,10,16
15-11-20,348,77,11,17,9,16
14-11-20,349,347,28,26,21,27
13-11-20,237,516,19,45,13,34
12-11-20,226,375,15,50,11,29
11-11-20,240,377,12,43,12,27
10-11-20,433,402,14,40,14,29
09-11-20,418,785,21,60,14,35
08-11-20,321,706,19,61,18,33
07-11-20,307,539,20,56,18,28
06-11-20,251,464,18,21,15,28
05-11-20,245,436,15,18,18,28
04-11-20,285,426,15,20,18,25
