date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2017-11-12,139.5,80.0,48.0,23.0,9.0,10.0,12,11,2017
2017-11-13,135.0,78.0,31.0,24.0,6.0,10.0,13,11,2017
2017-11-14,128.0,78.0,34.0,20.0,8.0,9.0,14,11,2017
2017-11-15,126.0,66.0,29.0,16.0,5.0,9.0,15,11,2017
2017-11-16,103.0,60.0,26.0,20.0,6.0,8.0,16,11,2017
2017-11-17,95.0,47.0,33.0,16.0,3.0,8.0,17,11,2017
2017-11-18,182.0,53.0,35.0,18.0,3.0,8.0,18,11,2017
2017-11-19,86.0,61.0,39.0,24.0,2.0,11.0,19,11,2017
2017-11-20,109.0,56.0,34.0,22.0,2.0,10.0,20,11,2017
2017-11-21,102.0,58.0,48.0,16.0,1.0,9.0,21,11,2017
2017-11-22,98.0,57.0,35.0,15.0,2.0,10.0,22,11,2017
2017-11-23,216.0,85.0,50.0,19.0,1.0,11.0,23,11,2017
2017-11-24,151.0,84.0,47.0,18.0,4.0,9.0,24,11,2017
2017-11-25,152.0,91.0,40.0,34.0,6.0,13.0,25,11,2017
2017-11-26,186.0,97.0,57.0,29.0,10.0,9.0,26,11,2017
2017-11-27,156.0,107.0,70.0,25.0,6.0,12.0,27,11,2017
2017-11-28,196.0,80.0,51.0,29.0,4.0,12.0,28,11,2017
2017-11-29,147.0,76.0,55.0,29.0,4.0,10.0,29,11,2017
2017-11-30,144.0,79.0,46.0,23.0,3.0,10.0,30,11,2017
2017-12-01,150.0,78.0,46.0,20.0,4.0,11.0,1,12,2017
2017-12-02,153.0,83.0,52.0,23.0,3.0,9.0,2,12,2017
2017-12-03,155.0,76.0,45.0,20.0,2.0,9.0,3,12,2017
2017-12-04,154.0,69.0,37.0,17.0,1.0,8.0,4,12,2017
2017-12-05,136.0,67.0,33.0,16.0,1.0,10.0,5,12,2017
2017-12-06,126.0,91.0,48.0,25.0,3.0,13.0,6,12,2017
2017-12-07,154.0,109.0,52.0,21.0,10.0,11.0,7,12,2017
2017-12-08,159.0,112.0,48.0,19.0,7.0,8.0,8,12,2017
2017-12-09,145.0,73.0,40.0,22.0,14.0,6.0,9,12,2017
2017-12-10,105.0,79.0,46.0,30.0,13.0,12.0,10,12,2017
2017-12-11,121.0,92.0,82.0,44.0,5.0,13.0,11,12,2017
2017-12-12,150.0,88.0,53.0,36.0,2.0,11.0,12,12,2017
2017-12-13,148.0,79.0,44.0,26.0,2.0,8.0,13,12,2017
2017-12-14,145.0,75.0,40.0,26.0,2.0,89.0,14,12,2017
2017-12-15,148.0,85.0,44.0,36.0,2.0,7.0,15,12,2017
2017-12-16,149.0,91.0,40.0,34.0,3.0,43.0,16,12,2017
2017-12-17,155.0,91.0,40.0,19.0,6.0,5.0,17,12,2017
2017-12-18,158.0,78.0,46.0,28.0,13.0,17.0,18,12,2017
2017-12-19,117.0,105.0,48.0,47.0,5.0,37.0,19,12,2017
2017-12-20,185.0,99.0,84.0,36.0,3.0,36.0,20,12,2017
2017-12-21,162.0,93.0,30.0,35.0,6.0,10.5,21,12,2017
2017-12-22,152.0,108.0,54.0,32.0,4.0,18.0,22,12,2017
2017-12-23,173.0,100.0,44.0,32.0,1.0,9.0,23,12,2017
2017-12-24,172.0,98.0,38.0,25.0,1.0,12.0,24,12,2017
2017-12-25,165.0,108.0,44.0,31.0,6.0,8.0,25,12,2017
2017-12-26,166.0,82.0,39.0,27.0,7.0,6.0,26,12,2017
2017-12-27,134.0,98.0,48.0,32.0,9.0,7.0,27,12,2017
2017-12-28,155.0,104.0,46.0,49.0,18.0,10.5,28,12,2017
2017-12-29,235.0,83.0,49.0,40.0,13.0,10.5,29,12,2017
2017-12-30,142.0,99.0,36.0,40.0,1.0,10.5,30,12,2017
2017-12-31,147.0,89.0,32.0,25.0,2.0,10.5,31,12,2017
2018-01-01,118.0,90.0,61.0,26.0,2.0,16.0,1,1,2018
2018-01-02,155.0,106.0,64.0,25.0,4.0,6.0,2,1,2018
2018-01-03,165.0,108.0,51.0,30.0,9.0,10.0,3,1,2018
2018-01-04,168.0,90.0,62.0,33.0,6.0,11.0,4,1,2018
2018-01-05,156.0,96.0,75.0,37.0,5.0,11.0,5,1,2018
2018-01-06,154.0,98.0,61.0,28.0,4.0,10.0,6,1,2018
2018-01-07,157.0,94.0,53.0,30.0,3.0,10.0,7,1,2018
2018-01-08,158.0,100.0,60.0,28.0,3.0,11.0,8,1,2018
2018-01-09,161.0,102.0,61.0,28.0,5.0,10.0,9,1,2018
2018-01-10,157.0,110.0,75.0,35.0,5.0,11.0,10,1,2018
2018-01-11,162.0,102.0,57.0,38.0,8.0,11.0,11,1,2018
2018-01-12,156.0,98.0,54.0,34.0,13.0,11.0,12,1,2018
2018-01-13,149.0,85.0,49.0,29.0,6.0,10.0,13,1,2018
2018-01-14,158.0,75.0,51.0,17.0,2.0,9.0,14,1,2018
2018-01-15,162.0,82.0,39.0,20.0,3.0,9.0,15,1,2018
2018-01-16,142.0,82.0,47.0,23.0,3.0,8.0,16,1,2018
2018-01-17,139.0,90.0,43.0,30.0,3.0,11.0,17,1,2018
2018-01-18,139.0,91.0,44.0,31.0,6.0,9.0,18,1,2018
2018-01-19,132.0,91.0,50.0,37.0,11.0,12.0,19,1,2018
2018-01-20,135.0,90.0,52.0,31.0,5.0,10.0,20,1,2018
2018-01-21,148.0,86.0,61.0,25.0,3.0,11.0,21,1,2018
2018-01-22,154.0,79.0,44.0,25.0,2.0,8.0,22,1,2018
2018-01-23,138.0,84.0,43.0,21.0,2.0,7.0,23,1,2018
2018-01-24,148.0,101.0,50.0,30.0,8.0,9.0,24,1,2018
2018-01-25,151.0,97.0,72.0,31.0,10.0,9.0,25,1,2018
2018-01-26,150.0,97.0,58.0,30.0,5.0,10.0,26,1,2018
2018-01-27,155.0,89.0,45.0,25.0,2.0,9.0,27,1,2018
2018-01-28,151.0,113.0,45.0,22.0,2.0,9.0,28,1,2018
2018-01-29,145.0,112.0,23.0,32.0,9.0,8.0,29,1,2018
2018-01-30,157.0,79.0,34.0,29.0,5.0,8.0,30,1,2018
2018-01-31,84.0,83.0,36.0,39.0,5.0,11.0,31,1,2018
2018-02-01,114.0,82.0,36.0,43.0,5.0,10.0,1,2,2018
2018-02-02,112.0,73.0,47.0,25.0,4.0,8.0,2,2,2018
2018-02-03,101.0,69.0,44.0,17.0,3.0,8.0,3,2,2018
2018-02-04,93.0,73.0,42.0,21.0,2.0,8.0,4,2,2018
2018-02-05,96.0,71.0,32.0,29.0,2.0,9.0,5,2,2018
2018-02-06,107.0,89.0,37.0,44.0,4.0,10.0,6,2,2018
2018-02-07,129.0,72.0,32.0,34.0,2.0,10.0,7,2,2018
2018-02-08,105.0,78.0,24.0,30.0,4.0,9.0,8,2,2018
2018-02-09,140.0,76.0,31.0,22.0,2.0,8.0,9,2,2018
2018-02-10,122.0,66.0,28.0,18.0,1.0,6.0,10,2,2018
2018-02-11,158.0,64.0,26.0,11.0,2.5,5.0,11,2,2018
2018-02-12,134.0,63.0,31.0,15.0,2.5,6.0,12,2,2018
2018-02-13,116.0,68.0,34.0,18.0,1.0,8.0,13,2,2018
2018-02-14,125.0,82.0,34.0,29.0,5.0,10.0,14,2,2018
2018-02-15,131.0,72.0,34.0,25.0,8.0,7.0,15,2,2018
2018-02-16,116.0,82.0,38.0,31.0,9.0,9.0,16,2,2018
2018-02-17,117.0,89.0,50.0,37.0,3.0,11.0,17,2,2018
2018-02-18,131.0,73.0,45.0,20.0,2.0,7.0,18,2,2018
2018-02-19,112.0,72.0,40.0,20.0,2.0,7.0,19,2,2018
2018-02-20,116.0,76.0,41.0,20.0,2.0,7.0,20,2,2018
2018-02-21,127.0,87.0,41.0,26.0,3.0,9.0,21,2,2018
2018-02-22,137.0,85.0,37.0,30.0,2.0,9.0,22,2,2018
2018-02-23,126.0,77.0,34.0,23.0,1.0,7.0,23,2,2018
2018-02-24,108.0,57.0,32.0,20.0,2.0,4.0,24,2,2018
2018-02-25,68.0,74.0,43.0,36.0,2.0,9.0,25,2,2018
2018-02-26,109.0,77.0,43.0,40.0,4.0,11.0,26,2,2018
2018-02-27,110.0,84.0,44.0,38.0,3.0,11.0,27,2,2018
2018-02-28,136.0,84.0,32.0,34.0,3.0,10.0,28,2,2018
2018-03-01,126.0,74.5,42.0,21.0,3.0,8.0,1,3,2018
2018-03-02,118.5,71.0,48.0,21.0,3.0,8.0,2,3,2018
2018-03-03,110.0,76.0,49.0,24.0,3.0,8.0,3,3,2018
2018-03-04,124.0,72.0,45.0,20.0,4.0,10.0,4,3,2018
2018-03-05,106.0,71.0,45.0,17.0,4.0,7.0,5,3,2018
2018-03-06,110.0,69.0,42.0,18.0,2.0,8.0,6,3,2018
2018-03-07,101.0,71.0,39.0,22.0,3.0,10.0,7,3,2018
2018-03-08,112.0,84.0,45.0,29.0,1.0,9.0,8,3,2018
2018-03-09,128.0,85.0,50.0,21.0,2.0,9.0,9,3,2018
2018-03-10,143.0,65.0,39.0,17.0,1.0,7.0,10,3,2018
2018-03-11,104.0,84.0,37.0,23.0,1.0,7.0,11,3,2018
2018-03-12,94.0,62.0,37.0,21.0,1.0,8.0,12,3,2018
