date, pm25, pm10, o3, no2, so2, co
16-04-21,104, , , , , 
15-04-21,82,72,3,39,1,9
14-04-21,67,56,33,17,5,3
13-04-21,85,44,36,15,5,3
12-04-21,88,61,31,14,4,3
11-04-21,71,67,29,18,4,4
10-04-21,101,54,28,14,3,3
09-04-21,127,78,30,14,5,3
08-04-21,126,91,32,20,5,4
07-04-21,123,89,29,18,5,5
06-04-21,132,86,36,15,4,4
05-04-21,149,88,38,16,4,5
04-04-21,154,102,29,18,10,7
03-04-21,137,107,44,19,1,6
02-04-21,141,105,43,18,1,4
01-04-21,130,111,32,19,1,4
31-03-21,122,103,28,17, ,4
30-03-21,149,95,32,19,3,5
29-03-21,145,93,38,12,2,4
28-03-21,143,92,38,13, ,5
27-03-21,154,95,36,14, ,5
26-03-21,156,104,44,21,3,7
25-03-21,151,97,44,20, ,7
24-03-21,144,102,39,23,2,6
23-03-21,147,90,47,14,2,6
22-03-21,158,100,41,14,1,5
21-03-21,122,100,50,19,1,7
20-03-21,109,82,40,15, ,4
19-03-21,109,75,35,16, ,4
18-03-21,119,79,36,15, ,4
17-03-21,142,77,36,12, ,4
16-03-21,112,81,38,16, ,5
15-03-21,102,70,38,17, ,4
14-03-21,78,66,33,18, ,4
13-03-21,61,58,28,17, ,4
12-03-21,82,58,22,15, ,3
11-03-21,73,66,14,17, ,4
10-03-21,91,64,16,18, ,4
09-03-21,103,68,32,17,5,4
08-03-21,116,68,41,14,6,3
07-03-21,122,78,42,16,5,4
06-03-21,107,79,46,18,4,5
05-03-21,110,72,36,13,6,4
04-03-21,123,74,36,5,9,3
03-03-21,132,85,38,11,7,6
02-03-21,111,91,35,10,7,5
01-03-21,122,75,37,10,5,4
28-02-21,131,81,33,11,6,4
27-02-21,129,89,36,18,7,6
26-02-21,129,90,35,16,13,6
25-02-21,128,85,37,16,6,5
24-02-21,139,83,38,19,10,5
23-02-21,143,91,40,23,7,7
22-02-21,127,90,39,18,5,6
21-02-21,87,74,33,18,5,6
20-02-21,132,55,28,12,5,3
19-02-21,139,72,34,16,5,4
18-02-21,127,70,31,15,5,4
17-02-21,120,75,41,14,4,3
16-02-21,128,75,38,16,5,3
15-02-21,119,77,36,17,5,3
14-02-21,112,73,38,19,1,4
13-02-21,127,69,36,20,6,3
12-02-21,123,75,35,23,5,4
11-02-21,133,69,39,19,4,4
10-02-21,146,78,40,21,4,4
09-02-21,152,91,52,24,6,5
08-02-21,127,95,63,31,6,7
07-02-21,154,82,39,21,6,3
06-02-21,122,101,39,28,7,5
05-02-21,116,84,38,27,4,4
04-02-21,123,76,38,24,6,4
03-02-21,123,86,31,23,6,6
02-02-21,134,87,26,19,6,5
01-02-21,157,86,29,17,5,5
31-01-21,157,88,30,13,5,5
30-01-21,144,88,34,12,5,4
29-01-21,131,79,36,13,5,4
28-01-21,147,73,31,12,5,4
27-01-21,139,77,30,10,6,3
26-01-21,117,75,36,10,6,3
25-01-21,136,69,35,12,5,3
24-01-21,134,73,43,14,6,4
23-01-21,156,77,42,14,5,4
22-01-21,149,89,45,15,5,4
21-01-21,134,90,39,20,7,5
20-01-21,132,85,33,18,5,4
19-01-21,134,75,39,19,5,4
18-01-21,125,74,30,16,4,5
17-01-21,138,66,29,12,4,3
16-01-21,156,73,32,15,6,3
15-01-21,160,82,34,16,4,5
14-01-21,145,87,36,15,5,5
13-01-21,153,73,30,15,4,4
12-01-21,144,89,34,20,6,6
11-01-21,148,96,31,25,7,8
10-01-21,108,89,36,27,6,7
09-01-21,86,65,31,17,4,4
08-01-21,124,56,26,15,4,3
07-01-21,121,73,23,15,6,4
06-01-21,114,65,30,19,5,6
05-01-21,113,63,21,15,4,5
04-01-21,143,65,29,15,5,4
03-01-21,162,78,37,16,4,4
02-01-21,163,97,41,16,5,6
01-01-21,163,98,44,15,5,5
31-12-20,163,101,44,15,6,5
30-12-20,163,99,41,17,5,5
29-12-20,161,101,46,16,6,5
28-12-20,160,102,46,19,5,5
27-12-20,158,102,46,23,5,7
26-12-20,162,105,43,26,7,7
25-12-20,163,109,53,27,7,8
24-12-20,156,100,47,22,5,6
23-12-20,156,91,46,21,5,5
22-12-20,114,97,53,28,6,6
21-12-20,119,81,38,27,4,6
20-12-20,141,77,38,20,9,4
19-12-20,153,79,37,17,8,3
18-12-20,155,90,33,18,6,4
17-12-20,138,89,32,19,5,5
16-12-20,149,77,35,23,5,6
15-12-20,118,83,33,17,5,5
14-12-20,129,73,30,16,5,4
13-12-20,150,71,33,15,5,3
12-12-20,135,79,37,18,5,4
11-12-20,112,73,35,17,5,3
10-12-20,127,65,32,17,5,3
09-12-20,122,77,36,25,7,6
08-12-20,120,80,33,30,18,7
07-12-20,119,72,28,24,6,5
06-12-20,123,70,26,15,3,4
05-12-20,132,70,31,17,5,5
04-12-20,128,79,31,17,4,4
03-12-20,144,78,27,20,8,5
02-12-20,143,85,32,22,7,6
01-12-20,136,88,34,19,7,5
30-11-20,104,83,35,21,6,6
29-11-20,79,68,35,20,4,6
28-11-20,86,51,23,14,4,4
27-11-20,114,48,16,13,4,3
26-11-20,102,54,14,12,4,3
25-11-20,127,57,19,12,5,3
24-11-20,144,73,25,16,5,4
23-11-20,146,88,31,19,9,4
22-11-20,141,82,31,18,6,4
21-11-20,93,77,29,19,5,5
20-11-20,81,66,24,18,4,3
19-11-20,76,52,24,15,4,3
18-11-20,100,49,17,12,4,3
17-11-20,117,56,19,14,4,4
16-11-20,115,63,26,15,5,4
15-11-20,118,62,25,13,5,3
14-11-20,113,65,25,13,5,3
13-11-20,88,68,25,17,5,4
12-11-20,85,52,19,16, ,4
11-11-20,135,50,15,16,5,3
10-11-20,159,84,33,20,9,4
09-11-20,157,102,42,17,10,4
08-11-20,148,95,40,19,10,4
07-11-20,162,84,33,17,7,2
06-11-20,156,99,33,16,6,4
05-11-20,144,93,32,19,8,5
04-11-20,154,94,34,19,6,4
03-11-20,163,102,33,20,8,4
02-11-20,160,107,35,16,11,4
01-11-20,157,103,34,18,6,5
31-10-20,162,100,37,16,5,5
30-10-20,160,104,33,17,5,4
29-10-20,159,97,31,19,10,4
28-10-20,152,91,29,20,5,5
27-10-20,154,88,27,19,4,5
26-10-20,146,83,29,16,4,4
25-10-20,150,81,26,15,4,5
24-10-20,155,78,29,16,3,6
23-10-20,159,89,33,18,6,7
22-10-20,160,99,32,17,4,6
21-10-20,114,90,26,16,5,5
20-10-20,113,66,17,13,4,4
19-10-20,86,50,14,15,3,5
18-10-20,73,48,13,14,5,4
17-10-20,72,33,21,14,4,3
16-10-20,72,43,18,12,5,2
15-10-20,69,43,15,12,6,3
14-10-20,49,37,13,12,8,3
13-10-20,64,22,8,16, ,3
12-10-20,86,25,12,9,14,2
11-10-20,71,42,11,11,6,2
10-10-20,96,36,10,10,16,2
09-10-20,126,53,18,12,8,5
08-10-20,140,61,24,12,7,4
07-10-20,151,70,20,12,4,4
06-10-20,131,80,20,11,3,4
05-10-20,111,75,23,11,1,3
04-10-20,127,66,21,10,7,3
03-10-20,130,69,22,10,2,2
02-10-20,124,72,11,10,2,2
01-10-20,109,68, ,9,2,2
30-09-20,120,55, ,9,2,1
29-09-20,106,62,16,11,6,2
28-09-20,95,55,18,10,5,2
27-09-20,67,51,14,10,6,2
26-09-20,42,33,13,9,6,1
25-09-20,59,17,11,7,5,1
24-09-20,61,28,10,8,6,1
23-09-20,57,32,9,7,5, 
22-09-20,50,29,12,6,5,1
21-09-20,52,22,15,6,6, 
20-09-20,79,21,21,6,5, 
19-09-20,92,35,28,7,5,1
18-09-20,63,44,22,8,5,1
17-09-20,58,29,20,7,5,1
16-09-20,58,24,22,7,5,1
15-09-20,51,25,27,8,5,1
14-09-20,65,22,20,7,5,1
13-09-20,51,30,16,7,5,1
12-09-20,48,19,19,7,5,1
11-09-20,93,24,20,7,5,1
10-09-20,79,48,19,13,6,2
09-09-20,84,43,25,10,5,1
08-09-20,84,47,35,11,6,2
07-09-20,74,45,48,10,5,1
06-09-20,75,37,33,9,5,2
05-09-20,70,41,31,11,5,1
04-09-20,74,39,29,11,6,2
03-09-20,95,40,22,10,5,1
02-09-20,94,51,27,11,5,2
