date,pm25,pm10,o3,no2,so2,co
2017-11-12, ,80,48,23,9,10
2017-11-13,135,78,31,24,6,10
2017-11-14,128,78,34,20,8,9
2017-11-15,126,66,29,16,5,9
2017-11-16,103,60,26,20,6,8
2017-11-17,95,47,33,16,3,8
2017-11-18,182,53,35,18,3,8
2017-11-19,86,61,39,24,2,11
2017-11-20,109,56,34,22,2,10
2017-11-21,102,58,48,16,1,9
2017-11-22,98,57,35,15,2,10
2017-11-23,216,85,50,19,1,11
2017-11-24,151,84,47,18,4,9
2017-11-25,152,91,40,34,6,13
2017-11-26,186,97,57,29,10,9
2017-11-27,156,107,70,25,6,12
2017-11-28,196,80,51,29,4,12
2017-11-29,147,76,55,29,4,10
2017-11-30,144,79,46,23,3,10
2017-12-01,150,78,46,20,4,11
2017-12-02,153,83,52,23,3,9
2017-12-03,155,76,45,20,2,9
2017-12-04,154,69,37,17,1,8
2017-12-05,136,67,33,16,1,10
2017-12-06,126,91,48,25,3,13
2017-12-07,154,109,52,21,10,11
2017-12-08,159,112,48,19,7,8
2017-12-09,145,73,40,22,14,6
2017-12-10,105,79,46,30,13,12
2017-12-11,121,92,82,44,5,13
2017-12-12,150,88,53,36,2,11
2017-12-13,148,79,44,26,2,8
2017-12-14,145,75,40,26,2,89
2017-12-15,148,85,44,36,2,7
2017-12-16,149,91,40,34,3,43
2017-12-17,155,91,40,19,6,5
2017-12-18,158,78,46,28,13,17
2017-12-19,117,105,48,47,5,37
2017-12-20,185,99,84,36,3,36
2017-12-21,162,93,30,35,6, 
2017-12-22,152,108,54,32,4,18
2017-12-23,173,100,44,32,1,9
2017-12-24,172,98,38,25,1,12
2017-12-25,165,108,44,31,6,8
2017-12-26,166,82,39,27,7,6
2017-12-27,134,98,48,32,9,7
2017-12-28,155,104,46,49,18, 
2017-12-29,235,83,49,40,13, 
2017-12-30,142,99,36,40,1, 
2017-12-31,147,89,32,25,2, 
2018-01-01,118,90,61,26,2,16
2018-01-02,155,106,64,25,4,6
2018-01-03,165,108,51,30,9,10
2018-01-04,168,90,62,33,6,11
2018-01-05,156,96,75,37,5,11
2018-01-06,154,98,61,28,4,10
2018-01-07,157,94,53,30,3,10
2018-01-08,158,100,60,28,3,11
2018-01-09,161,102,61,28,5,10
2018-01-10,157,110,75,35,5,11
2018-01-11,162,102,57,38,8,11
2018-01-12,156,98,54,34,13,11
2018-01-13,149,85,49,29,6,10
2018-01-14,158,75,51,17,2,9
