date,pm10,o3,no2,so2,co,dd,mm,yy
2016-08-27,18.0,3.0,9.0,2.0,4.0,27,8,2016
2016-08-28,18.0,3.0,9.0,2.0,4.0,28,8,2016
2016-08-29,14.0,3.0,10.0,2.0,4.0,29,8,2016
2016-08-30,18.0,43.0,16.0,11.0,4.0,30,8,2016
2016-08-31,36.0,44.0,14.0,11.0,4.0,31,8,2016
2016-09-01,36.0,8.0,8.0,2.0,4.0,1,9,2016
2016-09-02,31.0,4.0,17.0,2.0,4.0,2,9,2016
2016-09-03,30.0,5.0,12.0,2.0,3.0,3,9,2016
2016-09-04,35.0,4.0,12.0,2.0,5.0,4,9,2016
2016-09-05,22.0,3.0,11.0,2.0,4.0,5,9,2016
2016-09-06,24.0,3.0,10.0,2.0,5.0,6,9,2016
2016-09-07,33.0,4.0,12.0,1.0,4.0,7,9,2016
2016-09-08,35.0,4.0,12.0,4.0,4.0,8,9,2016
2016-09-09,28.0,3.0,11.0,2.0,3.0,9,9,2016
2016-09-10,34.0,3.0,9.0,2.0,3.0,10,9,2016
2016-09-11,23.0,2.0,9.0,2.0,4.0,11,9,2016
2016-09-12,6.0,3.0,8.0,2.0,3.0,12,9,2016
2016-09-13,5.0,3.0,8.0,2.0,4.0,13,9,2016
2016-09-14,7.0,3.0,8.0,2.0,4.0,14,9,2016
2016-09-15,8.0,4.0,11.0,2.0,4.0,15,9,2016
2016-09-16,11.0,2.0,10.0,3.0,3.0,16,9,2016
2016-09-17,46.0,4.0,9.0,3.0,4.0,17,9,2016
2016-09-18,17.0,4.0,9.0,3.0,3.0,18,9,2016
2016-09-19,34.0,4.0,7.0,2.0,4.0,19,9,2016
2016-09-20,27.0,2.0,7.0,2.0,4.0,20,9,2016
2016-09-21,8.0,3.0,9.0,2.0,4.0,21,9,2016
2016-09-22,8.0,2.0,8.0,2.0,5.0,22,9,2016
2016-09-23,8.0,3.0,8.0,3.0,5.0,23,9,2016
2016-09-24,6.0,3.0,8.0,4.0,4.0,24,9,2016
2016-09-25,7.0,3.0,10.0,2.0,5.0,25,9,2016
2016-09-26,6.0,3.0,12.0,2.0,4.0,26,9,2016
2016-09-27,16.0,1.0,12.0,2.0,5.0,27,9,2016
2016-09-28,39.0,1.0,11.0,2.0,5.0,28,9,2016
2016-09-29,30.0,2.0,9.0,2.0,5.0,29,9,2016
2016-09-30,19.0,2.0,9.0,2.0,5.0,30,9,2016
2016-10-01,18.0,3.0,8.0,2.0,5.0,1,10,2016
2016-10-02,14.0,6.0,13.0,2.0,6.0,2,10,2016
2016-10-03,30.0,7.0,15.0,2.0,5.0,3,10,2016
2016-10-04,49.0,5.0,16.0,2.0,4.0,4,10,2016
2016-10-05,40.0,4.0,12.0,2.0,6.0,5,10,2016
2016-10-06,35.0,2.0,10.0,2.0,5.0,6,10,2016
2016-10-07,16.0,3.0,10.0,2.0,5.0,7,10,2016
2016-10-08,18.0,2.0,12.0,2.0,6.0,8,10,2016
2016-10-09,21.0,4.0,9.0,2.0,6.0,9,10,2016
2016-10-10,14.0,4.0,10.0,2.0,6.0,10,10,2016
2016-10-11,13.0,6.0,12.0,2.0,7.0,11,10,2016
2016-10-12,50.0,8.0,19.0,2.0,7.0,12,10,2016
2016-10-13,70.0,8.0,26.0,2.0,6.0,13,10,2016
2016-10-14,79.0,8.0,20.0,2.0,5.0,14,10,2016
2016-10-15,68.0,10.0,18.0,2.0,8.0,15,10,2016
2016-10-16,64.0,8.0,20.0,2.0,13.0,16,10,2016
2016-10-17,60.0,10.0,20.0,3.0,12.0,17,10,2016
2016-10-18,68.0,8.0,22.0,2.0,3.0,18,10,2016
2016-10-19,67.0,11.0,21.0,2.0,8.0,19,10,2016
2016-10-20,98.0,12.0,23.0,2.0,9.0,20,10,2016
2016-10-21,49.0,10.0,25.0,2.0,15.0,21,10,2016
2016-10-22,76.0,10.0,23.0,2.0,11.0,22,10,2016
2016-10-23,49.0,10.0,23.0,2.0,8.0,23,10,2016
2016-10-24,49.0,11.0,22.0,2.0,8.0,24,10,2016
2016-10-25,49.0,7.0,23.0,2.0,11.0,25,10,2016
2016-10-26,62.0,5.0,12.0,2.0,3.0,26,10,2016
2016-10-27,37.0,3.0,14.0,2.0,8.0,27,10,2016
2016-10-28,41.0,6.0,11.0,2.0,8.0,28,10,2016
2016-10-29,38.0,4.0,13.0,3.0,9.0,29,10,2016
2016-10-30,65.0,3.0,10.0,2.0,15.0,30,10,2016
2016-10-31,59.0,5.0,12.0,3.0,18.0,31,10,2016
2016-11-01,59.0,8.0,16.0,2.0,4.0,1,11,2016
2016-11-02,57.0,5.0,15.0,2.0,17.0,2,11,2016
2016-11-03,42.0,1.0,16.0,2.0,17.0,3,11,2016
2016-11-04,46.0,1.0,9.0,3.0,17.0,4,11,2016
2016-11-05,14.0,2.0,9.0,2.0,17.0,5,11,2016
2016-11-06,35.0,3.0,11.0,2.0,8.0,6,11,2016
2016-11-07,62.0,4.0,17.0,3.0,16.0,7,11,2016
2016-11-08,82.0,6.0,16.0,3.0,16.0,8,11,2016
2016-11-09,98.0,7.0,20.0,2.0,13.0,9,11,2016
2016-11-10,107.0,6.0,21.0,2.0,14.0,10,11,2016
2016-11-11,96.0,6.0,19.0,3.0,15.0,11,11,2016
2016-11-12,85.0,7.0,17.0,5.0,15.0,12,11,2016
2016-11-13,72.0,7.0,15.0,3.0,18.0,13,11,2016
2016-11-14,83.0,4.0,18.0,2.0,18.0,14,11,2016
2016-11-15,94.0,4.0,20.0,2.0,12.0,15,11,2016
2016-11-16,85.0,4.0,20.0,2.0,12.0,16,11,2016
2016-11-17,81.0,3.0,21.0,2.0,13.0,17,11,2016
2016-11-18,87.0,4.0,24.0,3.0,15.0,18,11,2016
2016-11-19,112.0,4.0,25.0,2.0,22.0,19,11,2016
2016-11-20,163.0,2.0,21.0,3.0,25.0,20,11,2016
2016-11-21,127.0,3.0,17.0,2.0,21.0,21,11,2016
2016-11-22,121.0,9.0,18.0,2.0,23.0,22,11,2016
2016-11-23,122.0,20.0,19.0,3.0,28.0,23,11,2016
2016-11-24,122.0,21.0,18.0,3.0,22.0,24,11,2016
2016-11-25,124.0,21.0,18.0,2.0,30.0,25,11,2016
2016-11-26,142.0,12.0,15.0,3.0,28.0,26,11,2016
2016-11-27,140.0,12.0,19.0,2.0,28.0,27,11,2016
2016-11-28,124.0,13.0,28.0,3.0,25.0,28,11,2016
2016-11-29,94.0,15.0,32.0,3.0,22.0,29,11,2016
2016-11-30,96.0,17.0,26.0,2.0,10.0,30,11,2016
2016-12-01,67.0,16.0,26.0,2.0,20.0,1,12,2016
2016-12-02,77.0,16.0,29.0,3.0,19.0,2,12,2016
2016-12-03,91.0,17.0,23.0,2.0,13.0,3,12,2016
2016-12-04,94.0,14.0,20.0,4.0,10.0,4,12,2016
2016-12-05,92.0,15.0,27.0,2.0,15.0,5,12,2016
2016-12-06,86.0,13.0,34.0,2.0,19.0,6,12,2016
2016-12-07,82.0,13.0,32.0,2.0,21.0,7,12,2016
2016-12-08,91.0,12.0,45.0,2.0,17.0,8,12,2016
2016-12-09,80.0,15.0,34.0,3.0,19.0,9,12,2016
2016-12-10,88.0,13.0,45.0,2.0,17.5,10,12,2016
2016-12-11,94.5,7.0,36.0,3.0,21.0,11,12,2016
2016-12-12,93.0,15.0,44.0,2.0,17.0,12,12,2016
2016-12-13,97.0,14.0,35.0,2.0,15.0,13,12,2016
2016-12-14,108.0,14.0,37.0,3.0,18.0,14,12,2016
2016-12-15,95.0,12.0,45.0,2.0,13.0,15,12,2016
2016-12-16,86.0,15.0,51.0,2.0,10.0,16,12,2016
2016-12-17,97.0,14.0,65.0,2.0,17.0,17,12,2016
2016-12-18,120.0,13.0,59.0,2.0,15.0,18,12,2016
2016-12-19,106.0,10.0,55.0,3.0,19.0,19,12,2016
2016-12-20,108.0,14.0,65.0,2.0,26.0,20,12,2016
2016-12-21,126.0,11.0,77.0,2.0,23.0,21,12,2016
2016-12-22,142.0,3.0,63.0,2.0,21.0,22,12,2016
2016-12-23,146.0,13.0,45.0,2.0,17.5,23,12,2016
2016-12-24,94.5,13.0,45.0,2.0,17.5,24,12,2016
2016-12-25,94.5,2.0,88.0,2.0,25.0,25,12,2016
2016-12-26,81.0,13.0,58.0,2.0,13.0,26,12,2016
2016-12-27,98.0,3.0,34.0,2.0,9.0,27,12,2016
2016-12-28,93.0,5.0,46.0,2.0,8.0,28,12,2016
