date, pm25, pm10, o3, no2, so2, co
16-04-21,81, , , , , 
15-04-21,97,54,60,3,8,2
14-04-21,87,58,43,2,6,2
13-04-21,85,57,39,2,4,2
12-04-21,96,57,38,3,6,2
11-04-21,95,58,43,4,31,4
10-04-21,108,53,35,2,44,3
09-04-21,101,63,50,3,6,3
08-04-21,91,58,25,3,5,3
07-04-21,91,63,33,4,6,5
06-04-21,107,65,27,2,2,1
05-04-21,112,65,40,6,7,1
04-04-21,110,44,50,9,5,3
03-04-21,115,62,44,4,4,1
02-04-21,120,55,43,4,4,2
01-04-21,146,79,52,4,8,2
31-03-21,143,75,44,5,6,3
30-03-21,126,87,66,5,16,3
29-03-21,138,74,39,3,15,3
28-03-21,156,76,33,2,8,2
27-03-21,157,95,51,4,9,3
26-03-21,151,111,73,10,14,4
25-03-21,143,110,76,16,12,6
24-03-21,158,102,7,27,11,8
23-03-21,165,98,80,6,8,4
22-03-21,160,119,57,10,10,5
21-03-21,160,113,65,12,9,8
20-03-21,172,116,74,8,9,5
19-03-21,160,142,73,14,11,6
18-03-21,160,125,67,17,10,8
17-03-21,161,121,46,13,8,6
16-03-21,147,125,54,13,8,3
15-03-21,140,93,49,14,7,9
14-03-21,142,82,68,12,14,4
13-03-21,146,84,62,13,6,4
12-03-21,99,100,42,9,7,4
11-03-21,96,62,25,9,4,4
10-03-21,71,55,20,5,4,2
09-03-21,92,45,34,5,7,4
08-03-21,136,53,25,4,4,2
07-03-21,151,75,64,4,9,3
06-03-21,138,95,56,6,5,4
05-03-21,143,94,60,13,10,8
04-03-21,167,79,54,4,5,3
03-03-21,137,125,78,14,9,5
02-03-21,151,97,66,15,10,10
01-03-21,130,92,43,7,5,4
28-02-21, ,76,51,10,7,4
26-02-21,163, , , , , 
25-02-21,167,103,14,24,6,4
24-02-21,161,117,63,27,9,4
23-02-21,169,107,76,33,8,10
22-02-21,178,117,58,29,10,5
21-02-21,180,144,80,39,10,10
20-02-21,175,156,44,38,10,10
19-02-21,164,130,32,31,8,8
18-02-21,171,120,20,37,10,9
17-02-21,177,117,63,25,6,5
16-02-21,167,136,28,27,10,8
15-02-21,143,113,52,29,7,6
14-02-21,158,84,39,27,7,7
13-02-21,172,99,43,18,5,3
12-02-21,165,116,51,31,7,6
11-02-21,170,112,52,33,8,9
10-02-21,195,118,51,37,8,8
09-02-21,181,164,65,54,9,17
08-02-21,155,158,50,45,8,15
07-02-21,125,107,41,35,7,9
06-02-21,191,80,34,24,6,5
05-02-21,184,168,39,36,12,10
04-02-21,192,140,42,43,8,13
03-02-21,199,150,43,39,8,10
02-02-21,181,158,47,44,11,15
01-02-21,167,136,48,45,8,13
31-01-21,179,114,48,33,5,9
30-01-21,177,140,51,24,8,5
29-01-21,179,137,43,33,11,11
28-01-21,170,131,37,27,7,7
27-01-21,174,121,41,26,10,8
26-01-21,175,125,35,24,8,6
25-01-21,179,128,24,21,5,8
24-01-21,176,125,34,23,10,7
23-01-21,180,116,44,20,8,6
22-01-21,172,130,28,30,5,8
21-01-21,173,117,44,34,5,7
20-01-21,171,122,40,34,8,9
19-01-21,188,112,27,26,9,7
18-01-21,188,138,41,29,5,7
17-01-21,193,143,36,35,62,13
16-01-21,181,158,41,22,5,7
15-01-21,172,142,47,21,5,6
14-01-21,167,126,42,29,6,8
13-01-21,161,118,39,18,4,4
12-01-21,162,104,39,15,7,5
11-01-21,162,105,35,19,7,4
10-01-21,163,107,34,26,8,6
09-01-21,166,104,34,26,6,5
08-01-21,181,109,42,28,8,6
07-01-21,194,130,33,36,10,11
06-01-21,201,149,44,47,14,17
05-01-21,176,153,47,50,8,23
04-01-21,200,122,40,41,9,16
03-01-21,238,147,28,44,7,15
02-01-21,207,206,39,45,5,19
01-01-21,187,167,45,39,10,15
31-12-20,178,147,39,33,10,11
30-12-20,208,131,36,38,10,9
29-12-20,281,153,36,38,6,12
28-12-20,213,269,48,54,9,23
27-12-20,200,167,49,34,6,17
26-12-20,198,161,50,28,6,11
25-12-20,203,147,46,25,7,11
24-12-20,204,163,40,30,7,12
23-12-20,207,157,36,30,6,16
22-12-20,227,159,39,31,8,16
21-12-20,204,179,38,26,8,12
20-12-20,184,157,40,25,7,12
19-12-20,172,131,49,17,6,7
18-12-20,178,114,45,18,7,6
17-12-20,183,126,39,24,9,8
16-12-20,168,130,33,29,7,13
15-12-20,183,111,34,22,10,10
14-12-20,185,116,35,22,5,10
13-12-20,183,125,35,22,5,12
12-12-20,183,128,34,22,4,11
11-12-20,180,125,32,16,6,7
10-12-20,193,120,22,14,6,9
09-12-20,191,136,28,19,5,12
08-12-20,205,137,24,17,6,10
07-12-20,167,148,25,21,4,11
06-12-20,176,100,37,21,6,12
05-12-20,183,114,44,19,8,7
04-12-20,180,131,37,24,9,8
03-12-20,206,131,45,26,12,11
02-12-20,192,156,51,30,10,17
01-12-20,189,145,43,27,12,15
30-11-20,164,143,46,26,7,15
29-11-20,171,111,45,23,11,14
28-11-20,160,116,43,20,7,10
27-11-20,147,95,38,16,10,8
26-11-20,174,87,27,14,11,6
25-11-20,161,114,24,19,10,10
24-11-20,169,100,25,21,11,11
23-11-20,155,107,33,22,8,9
22-11-20,157,95,47,19,8,11
21-11-20,176,89,37,15,6,7
20-11-20,155,109,16,16,6,11
19-11-20,146,82,31,19,7,6
18-11-20,164,73,35,18,8,5
17-11-20,179,106,46,26,8,9
16-11-20,163,126,51,31,9,13
15-11-20,172,104,27,23,4,9
14-11-20,150,111,43,21,6,7
13-11-20,129,87,44,23,7,8
12-11-20,135,78,25,24,10,7
11-11-20,106,80,31,24,65,7
10-11-20,133,62,33,20,4,6
09-11-20,134,77,37,28,5,9
08-11-20,163,80,31,34,8,12
07-11-20,175,106,38,41,8,11
06-11-20,172,124,52,56,12,15
05-11-20,170,127,55,62,9,17
04-11-20,172,121,60,60,7,14
03-11-20,165,125,62,53,9,11
02-11-20,51,104,66,36,6,9
01-11-20,48,28,29,23,2,5
