date,pm25,pm10,o3,no2,so2,co
2016-08-27, , ,3,9,2,4
2016-08-28, ,18,3,9,2,4
2016-08-29, ,14,3,10,2,4
2016-08-30, ,18,43,16,11,4
2016-08-31, ,36,44,14,11,4
2016-09-01, ,36,8,8,2,4
2016-09-02, ,31,4,17,2,4
2016-09-03, ,30,5,12,2,3
2016-09-04, ,35,4,12,2,5
2016-09-05, ,22,3,11,2,4
2016-09-06, ,24,3,10,2,5
2016-09-07, ,33,4,12,1,4
2016-09-08, ,35,4,12,4,4
2016-09-09, ,28,3,11,2,3
2016-09-10, ,34,3,9,2,3
2016-09-11, ,23,2,9,2,4
2016-09-12, ,6,3,8,2,3
2016-09-13, ,5,3,8,2,4
2016-09-14, ,7,3,8,2,4
2016-09-15, ,8,4,11,2,4
2016-09-16, ,11,2,10,3,3
2016-09-17, ,46,4,9,3,4
2016-09-18, ,17,4,9,3,3
2016-09-19, ,34,4,7,2,4
2016-09-20, ,27,2,7,2,4
2016-09-21, ,8,3,9,2,4
2016-09-22, ,8,2,8,2,5
2016-09-23, ,8,3,8,3,5
2016-09-24, ,6,3,8,4,4
2016-09-25, ,7,3,10,2,5
2016-09-26, ,6,3,12,2,4
2016-09-27, ,16,1,12,2,5
2016-09-28, ,39,1,11,2,5
2016-09-29, ,30,2,9,2,5
2016-09-30, ,19,2,9,2,5
2016-10-01, ,18,3,8,2,5
2016-10-02, ,14,6,13,2,6
2016-10-03, ,30,7,15,2,5
2016-10-04, ,49,5,16,2,4
2016-10-05, ,40,4,12,2,6
2016-10-06, ,35,2,10,2,5
2016-10-07, ,16,3,10,2,5
2016-10-08, ,18,2,12,2,6
2016-10-09, ,21,4,9,2,6
2016-10-10, ,14,4,10,2,6
2016-10-11, ,13,6,12,2,7
2016-10-12, ,50,8,19,2,7
2016-10-13, ,70,8,26,2,6
2016-10-14, ,79,8,20,2,5
2016-10-15, ,68,10,18,2,8
2016-10-16, ,64,8,20,2,13
2016-10-17, ,60,10,20,3,12
2016-10-18, ,68,8,22,2,3
2016-10-19, ,67,11,21,2,8
2016-10-20, ,98,12,23,2,9
2016-10-21, , ,10,25,2,15
2016-10-22, ,76,10,23,2,11
2016-10-23, , ,10,23,2,8
2016-10-24, , ,11,22,2,8
2016-10-25, , ,7,23,2,11
2016-10-26, ,62,5,12,2,3
2016-10-27, ,37,3,14,2,8
2016-10-28, ,41,6,11,2,8
2016-10-29, ,38,4,13,3,9
2016-10-30, ,65,3,10,2,15
2016-10-31, ,59,5,12,3,18
2016-11-01, ,59,8,16,2,4
2016-11-02, ,57,5,15,2, 
2016-11-03, ,42,1,16,2, 
2016-11-04, ,46,1,9,3, 
2016-11-05, ,14,2,9,2, 
2016-11-06, ,35,3,11,2,8
2016-11-07, ,62,4,17,3,16
2016-11-08, ,82,6,16,3,16
2016-11-09, ,98,7,20,2,13
2016-11-10, ,107,6,21,2,14
2016-11-11, ,96,6,19,3,15
2016-11-12, ,85,7,17,5,15
2016-11-13, ,72,7,15,3,18
2016-11-14, ,83,4,18,2,18
2016-11-15, ,94,4,20,2,12
2016-11-16, ,85,4,20,2,12
2016-11-17, ,81,3,21,2,13
2016-11-18, ,87,4,24,3,15
2016-11-19, ,112,4,25,2,22
2016-11-20, ,163,2,21,3,25
2016-11-21, ,127,3,17,2,21
2016-11-22, ,121,9,18,2,23
2016-11-23, ,122,20,19,3,28
2016-11-24, ,122,21,18,3,22
2016-11-25, ,124,21,18,2,30
2016-11-26, ,142,12,15,3,28
2016-11-27, ,140,12,19,2,28
2016-11-28, ,124,13,28,3,25
2016-11-29, ,94,15,32,3,22
2016-11-30, ,96,17,26,2,10
2016-12-01, ,67,16,26,2,20
2016-12-02, ,77,16,29,3,19
2016-12-03, ,91,17,23,2,13
2016-12-04, ,94,14,20,4,10
2016-12-05, ,92,15,27,2,15
2016-12-06, ,86,13,34,2,19
2016-12-07, ,82,13,32,2,21
2016-12-08, ,91,12, ,2,17
2016-12-09, ,80,15,34,3,19
2016-12-10, ,88, , , , 
2016-12-11, , ,7,36,3,21
2016-12-12, ,93,15,44,2,17
2016-12-13, ,97,14,35,2,15
2016-12-14, ,108,14,37,3,18
2016-12-15, ,95,12,45,2,13
2016-12-16, ,86,15,51,2,10
2016-12-17, ,97,14,65,2,17
2016-12-18, ,120,13,59,2,15
2016-12-19, ,106,10,55,3,19
2016-12-20, ,108,14,65, ,26
2016-12-21, ,126,11,77, ,23
2016-12-22, ,142,3,63, ,21
2016-12-23, ,146, , , , 
2016-12-24,,,,,,
2016-12-25, , ,2,88,2,25
2016-12-26, ,81,13,58,2,13
2016-12-27, ,98,3,34,2,9
2016-12-28, ,93,5,46,2,8
2016-12-29, ,97,12,69,3,17
2016-12-30, ,113,10,72,3,19
2016-12-31, ,121,11,54,3,25
2017-01-01, ,152,13,60,2,19
2017-01-02, ,115,11,54,1,12
2017-01-03, ,112,11,38,2,9
2017-01-04, ,85,10,46,2,12
2017-01-05, ,101,12,31,2,16
2017-01-06, ,94,10,41,2,13
2017-01-07, ,96,13,44,2,19
2017-01-08, ,113,17,50,10,16
2017-01-09, ,146,10,36,1,11
2017-01-10, ,97,11,30,2,10
2017-01-11, ,62,11,37,2,9
2017-01-12, ,82,12,39,2,8
2017-01-13, ,115,15,41,1,13
2017-01-14, ,136,13,42,2,10
2017-01-15, ,126,12,46,2,12
2017-01-16, ,164,14,48,3,29
2017-01-17, ,291,16,52,2,20
2017-01-18, ,266,16,50,2,11
2017-01-19, ,122,13,52,3,17
2017-01-20, ,115,13,57,2,17
2017-01-21, ,134,14,49,1,8
2017-01-22, ,100,11,55,2,15
2017-01-23, ,101,6,62,3,16
2017-01-24, ,97,9,67,2,18
2017-01-25, ,107, ,62,2,16
2017-01-26, ,104,13,63,2,21
2017-01-27, ,116,8,47,1,14
2017-01-28, ,91,11,35,1,5
2017-01-29, ,59,14,48,2,10
2017-01-30, ,75,17,52,3,13
