date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2015-12-29,177.5,119.0,27.0,1.0,6.0,22.0,29,12,2015
2015-12-30,147.0,320.0,7.0,3.0,8.0,74.0,30,12,2015
2015-12-31,208.0,219.5,17.0,2.0,7.0,48.0,31,12,2015
2016-01-01,150.0,97.5,25.0,4.0,3.5,9.5,1,1,2016
2016-01-02,150.0,97.0,26.0,8.0,4.0,16.0,2,1,2016
2016-01-03,159.0,109.0,27.0,9.0,4.0,19.0,3,1,2016
2016-01-04,170.0,103.0,78.0,9.0,3.0,16.0,4,1,2016
2016-01-05,170.0,125.0,12.0,1.0,4.0,13.0,5,1,2016
2016-01-06,191.0,151.0,10.0,1.0,5.0,20.0,6,1,2016
2016-01-07,190.0,119.0,20.0,4.0,2.0,13.0,7,1,2016
2016-01-08,174.0,136.0,22.0,4.0,3.0,12.0,8,1,2016
2016-01-09,176.0,109.0,29.0,4.0,6.0,13.0,9,1,2016
2016-01-10,175.0,123.0,33.0,4.0,6.0,15.0,10,1,2016
2016-01-11,177.0,100.0,23.0,1.0,2.0,9.0,11,1,2016
2016-01-12,158.0,91.0,25.0,2.0,3.0,10.0,12,1,2016
2016-01-13,140.0,114.0,20.0,2.0,3.0,13.0,13,1,2016
2016-01-14,151.0,74.0,25.0,2.0,6.0,9.0,14,1,2016
2016-01-15,134.0,67.0,23.0,2.0,2.0,5.0,15,1,2016
2016-01-16,123.0,74.0,25.0,3.0,3.0,6.0,16,1,2016
2016-01-17,128.0,85.0,26.0,4.0,3.0,7.0,17,1,2016
2016-01-18,138.0,79.0,21.0,5.0,4.0,7.0,18,1,2016
2016-01-19,123.0,85.0,31.0,5.0,5.0,7.0,19,1,2016
2016-01-20,134.0,77.0,24.0,5.0,5.0,6.0,20,1,2016
2016-01-21,134.0,71.0,25.0,6.0,6.0,7.0,21,1,2016
2016-01-22,127.0,86.0,25.0,6.0,6.0,9.0,22,1,2016
2016-01-23,147.0,113.0,34.0,5.0,5.0,9.0,23,1,2016
2016-01-24,150.0,70.0,32.0,6.0,6.0,12.0,24,1,2016
2016-01-25,150.0,83.0,28.0,4.0,3.0,10.0,25,1,2016
2016-01-26,115.0,83.0,24.0,2.0,1.0,9.0,26,1,2016
2016-01-27,139.0,136.0,26.0,5.0,5.0,13.0,27,1,2016
