date,pm25,pm10,o3,no2,so2,co
2015-12-29, ,119,27,1,6,22
2015-12-30,147,320,7,3,8,74
2015-12-31,208, , , , , 
2016-01-01,,,,,,
2016-01-02, ,97,26,8,4,16
2016-01-03,159,109,27,9,4,19
2016-01-04,170,103,78,9,3,16
2016-01-05,170,125,12,1,4,13
2016-01-06,191,151,10,1,5,20
2016-01-07,190,119,20, ,2,13
2016-01-08,174,136,22, ,3,12
2016-01-09,176,109,29, ,6,13
2016-01-10,175,123,33, ,6,15
2016-01-11,177,100,23,1,2,9
2016-01-12,158,91,25,2,3,10
2016-01-13,140,114,20,2,3,13
2016-01-14,151,74,25,2,6,9
2016-01-15,134,67,23,2,2,5
2016-01-16,123,74,25,3,3,6
2016-01-17,128,85,26,4,3,7
2016-01-18,138,79,21,5,4,7
2016-01-19,123,85,31,5,5,7
2016-01-20,134,77,24,5,5,6
2016-01-21,134,71,25,6,6,7
2016-01-22,127,86,25,6,6,9
2016-01-23,147,113,34,5,5,9
2016-01-24,150,70,32,6,6,12
2016-01-25,150,83,28,4,3,10
2016-01-26,115,83,24,2,1,9
2016-01-27,139,136,26,5,5,13
2016-01-28,185,92,27,3,3,14
2016-01-29,176,118,22,3,2,9
2016-01-30,163,98,18,4,3,7
2016-01-31,128,111,22,4,3,9
2016-02-01,139,82,26,5,4,7
2016-02-02,132,86,33,5,4,9
2016-02-03,143,73,27,5,5,8
2016-02-04,143,62,24,4,4,7
2016-02-05,130,57,21,3,2,8
2016-02-06,114,40,16,3,2,6
2016-02-07,85,51,21,3,2,8
2016-02-08,107,70,25,2,2,9
2016-02-09,134,53,21,2,2,8
2016-02-10,107,34,15,2,1,5
2016-02-11,73,36,14,2,1,6
2016-02-12,75,45,19,3,2,6
2016-02-13,95,46,28,4,3,6
2016-02-14,102,60,34,6,6,7
2016-02-15,120,76,30,5,4,4
2016-02-16,123,94,15,2,1,4
2016-02-17,132,83,13,3,2,6
2016-02-18,116,73,7,2,1,4
2016-02-19,95,65,11,2,1,5
2016-02-20,97,74,18,4,3,6
2016-02-21,117,62,26,5,4,5
2016-02-22,107,86,28,5,4,7
2016-02-23,131,81,16,2,2,6
2016-02-24,110,74,20,3,2,6
2016-02-25,106,77,18,3,2,7
2016-02-26,116,121,17,3,2,10
2016-02-27,156,105,15,3,2,8
2016-02-28,136,102,10,3,2,9
2016-02-29,141,121,15,4,3,14
2016-03-01,164,93,12,3,2,10
2016-03-02,141,84,17,4,3,9
2016-03-03,141,66,9,3,2,8
2016-03-04,85,68,12,3,2,10
2016-03-05,97,50,14,2,1,6
2016-03-06,60,60,23,3,2,9
2016-03-07,94,64,29,4,3,8
2016-03-08,105,58,26,4,3,7
2016-03-09,96,76,29,5,4,7
2016-03-10,112,75,29,4,3,6
2016-03-11,121,52,11,3,2,4
2016-03-12,81,55,8,2,1,4
2016-03-13,57,49,7,2,1,5
2016-03-14,67,53,16,2,1,5
2016-03-15,78,66,11,2,1,5
2016-03-16,88,97,11,2,1,6
2016-03-17,93,79,7,2,1,7
2016-03-18,110,70,8,2,1,5
2016-03-19,96,86,8,2,1,3
2016-03-20,107,77,7,2,1,5
2016-03-21,109,124,8,2,1,7
2016-03-22,145,88,19,2,1,8
2016-03-23,129,116,11,2,1,6
2016-03-24,105,84,8,2,1,5
2016-03-25,98,102,5,3,2,4
2016-03-26,97,95,5,3,2,4
2016-03-27,106,83,6,3,3,6
2016-03-28,116,89,6,3,2,5
2016-03-29,109,71,6,3,2,5
2016-03-30,99,62,6,3,2,5
2016-03-31,79,49,5,3,2,4
2016-04-01,65,49,5,3,2,3
2016-04-02,60,59,5,3,2,3
2016-04-03,81,62,5,3,2,4
2016-04-04,82,67,5,3,2,4
2016-04-05,67,50,5,3,3,4
2016-04-06,64,50,7,3,3,3
2016-04-07,64,62,12,4,3,4
2016-04-08,87,55,13,4,3,4
2016-04-09,85,65,6,4,3,5
2016-04-10,90,67,8,4,3,5
2016-04-11,99,62,6,4,3,5
2016-04-12,80,57,6,4,3,5
2016-04-13,86,67,6,4,3,6
2016-04-14,102,61,5,4,3,6
2016-04-15,93,58,5,4,3,6
2016-04-16,85,60,5,4,3,7
2016-04-17,86,57,6,4,4,7
2016-04-18,84,65,6,4,3,8
2016-04-19,93,76,6,4,3,7
2016-04-20,92,58,6,4,3,2
2016-04-21,75,46,8,4,3,2
2016-04-22,54,46,7,4,4,2
2016-04-23,71,55,6,4,4,2
2016-04-24,92,51,6,5,4,2
2016-04-25,67,52,7,5,5,3
2016-04-26,73,54,13,5,5,4
2016-04-27,90,58,8,5,5,4
2016-04-28,84,57,7,5,4,3
2016-04-29,79,63,5,6,5,4
2016-04-30,72,51,5,5,5,4
2016-05-01,84,85,5,5,5,3
2016-05-02,61,55,6,5,5,4
2016-05-03,81,58,5,5,5,3
2016-05-04,76,43,5,6,5,4
2016-05-05,58,46,12,6,5,4
2016-05-06,74,53,6,6,5,4
2016-05-07,73,50,11,5,5,2
2016-05-08,110,48,5,6,5,3
2016-05-09,60,50,6,6,5,3
2016-05-10,76,43,6,4,4,3
2016-05-11,75,44,5,1, ,3
2016-05-12,63,64,6,2,1,5
2016-05-13,81,59,8,2,1,5
2016-05-14,71, ,7,2,1,1
2016-05-15,120,71,5,2,1,7
2016-05-16,85,59,7,2,1,6
2016-05-17,79,60,7,2,1,5
2016-05-18,86,64,39,2,1,6
2016-05-19,85,88,5,3,2,5
2016-05-20,57,56,9,3,2,6
2016-05-21,50,67,3,3,2,7
2016-05-22,83,101,7,3,2,8
2016-05-23,91,30,4,3,2,8
2016-05-24,74,40,6,3,2,8
2016-05-25,87,32,6, , ,7
2016-05-26,82,34,8,1, ,8
2016-05-27,87,33,6,1,1,8
2016-05-28,86,71,4,1, ,7
2016-05-29,143,22,7,1,1,7
2016-05-30,63,27,6,1, ,8
2016-05-31,73,35,5,1, ,8
2016-06-01,88,40,5,1, ,8
2016-06-02,97,41,6,1, ,8
2016-06-03,94,29,6,1, ,8
2016-06-04,78,30,5,1, ,7
2016-06-05,78,30,6,1, ,7
2016-06-06,81,27,5,1, ,7
2016-06-07,74,29,6,1, ,7
2016-06-08,75,29,6,1, ,7
2016-06-09,78,29,5,1, ,8
2016-06-10,74,22,7,1, ,9
2016-06-11,62,18,7,1, ,8
2016-06-12,55,21,7,1, ,8
2016-06-13,61,22,6,1,1,8
2016-06-14,62,20,5,3,2,8
2016-06-15,59,29,6,3,2,7
2016-06-16,78,24,6,2,2,8
2016-06-17,69,30,7,3,2,8
2016-06-18,81,30,8,3,2,9
2016-06-19,81,29,11,3,2,10
2016-06-20,79,33,4,3,2,8
2016-06-21,88, , , , , 
2016-06-22,,,,,,
2016-06-23,,,,,,
2016-06-24,,,,,,
2016-06-25,,,,,,
2016-06-26,,,,,,
2016-06-27,,,,,,
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30, ,195, ,13,18, 
2016-07-01,322,32,9,15,16,3
2016-07-02,78,51,8,15,16,2
2016-07-03,115,55,14,22,20,4
2016-07-04,122,106,10,11,11,12
2016-07-05,165,65,6,7,6, 
2016-07-06,157,31,5,4,4,5
2016-07-07,83,33,5,4,3,5
2016-07-08,82,23,22,3,2,5
2016-07-09,66,15,1,2,2,5
