date,pm25,pm10,o3,no2,co,dd,mm,yy
2015-07-09,24.0,24.0,37.0,12.0,20.0,9,7,2015
2015-07-10,21.0,25.0,37.0,12.0,24.0,10,7,2015
2015-07-11,23.0,29.0,10.0,13.0,30.0,11,7,2015
2015-07-12,37.0,34.0,28.0,14.0,30.0,12,7,2015
2015-07-13,37.0,40.0,26.0,13.0,28.0,13,7,2015
2015-07-14,38.0,47.0,21.0,13.0,28.0,14,7,2015
2015-07-15,39.0,46.0,22.0,14.0,25.0,15,7,2015
2015-07-16,34.0,71.0,22.0,14.0,22.0,16,7,2015
2015-07-17,31.0,34.0,27.0,13.0,9.0,17,7,2015
2015-07-18,31.0,26.0,27.0,13.0,9.0,18,7,2015
2015-07-19,31.0,22.0,28.0,10.0,12.0,19,7,2015
2015-07-20,26.0,22.0,22.0,17.0,15.0,20,7,2015
2015-07-21,24.0,20.0,22.0,18.0,12.0,21,7,2015
2015-07-22,20.0,21.0,27.0,16.0,13.0,22,7,2015
2015-07-23,21.0,22.0,17.0,19.0,14.0,23,7,2015
2015-07-24,21.0,21.0,29.0,18.0,11.0,24,7,2015
2015-07-25,20.0,21.0,31.0,13.0,10.0,25,7,2015
2015-07-26,24.0,21.0,26.0,13.0,11.0,26,7,2015
2015-07-27,23.0,19.0,30.0,18.0,10.0,27,7,2015
2015-07-28,22.0,21.0,24.0,16.0,10.0,28,7,2015
2015-07-29,25.0,19.0,29.0,19.0,9.0,29,7,2015
2015-07-30,23.0,19.0,17.0,16.0,12.0,30,7,2015
2015-07-31,21.0,19.0,17.0,15.0,11.0,31,7,2015
2015-08-01,20.0,23.0,31.0,11.0,8.0,1,8,2015
2015-08-02,23.0,21.0,31.0,11.0,13.0,2,8,2015
2015-08-03,26.0,21.0,19.0,16.0,35.0,3,8,2015
2015-08-04,23.0,22.0,19.0,14.0,36.0,4,8,2015
2015-08-05,21.0,23.0,31.0,14.0,20.0,5,8,2015
2015-08-06,23.0,18.0,31.0,15.0,20.0,6,8,2015
2015-08-07,14.0,21.0,31.0,17.0,20.0,7,8,2015
2015-08-08,18.0,34.0,31.0,24.0,20.0,8,8,2015
2015-08-09,23.0,34.0,31.0,24.0,20.0,9,8,2015
2015-08-10,23.0,34.0,31.0,24.0,20.0,10,8,2015
2015-08-11,23.0,34.0,31.0,24.0,20.0,11,8,2015
2015-08-12,23.0,34.0,31.0,24.0,20.0,12,8,2015
2015-08-13,23.0,59.0,38.0,26.0,21.0,13,8,2015
2015-08-14,44.0,63.0,38.0,26.0,21.0,14,8,2015
2015-08-15,43.0,64.0,31.0,27.0,20.0,15,8,2015
2015-08-16,23.0,34.0,31.0,24.0,20.0,16,8,2015
2015-08-17,23.0,56.0,48.0,23.0,10.0,17,8,2015
