date, pm25, pm10, o3, no2, co
16-04-21,86, , , , 
15-04-21,88,90,59,33, 
14-04-21,89,92,63,33, 
13-04-21,92,93,63,36, 
12-04-21,111,96,76,40, 
11-04-21,136,112,76,40, 
10-04-21,104,122,59,42,51
09-04-21,102,105,82,35,51
08-04-21,116,104,82,32, 
07-04-21,98,110,57,36,51
06-04-21,97,102, ,43, 
05-04-21,109,101,61,67,104
04-04-21,96,105,71,88, 
03-04-21,79,88,71,85,104
02-04-21,91,80,63,69,104
01-04-21,121,86,71,44,104
31-03-21,101,103,73,99,104
30-03-21,132,102,76,97,85
29-03-21,140,112,76,62,77
28-03-21,155,116,80,70, 
27-03-21,184,123,80,79,51
26-03-21,200,133,80,65,104
25-03-21,167,138,75,71, 
24-03-21,148,122,75,89,77
23-03-21,113,117,73,87,104
22-03-21,132,109,73,75, 
21-03-21,125,105,80,77, 
20-03-21,119,100,80,84,118
19-03-21,124,107,94,98,77
18-03-21,148,108,94,102,51
17-03-21,141,118,80,120,51
16-03-21,103,114,71,104, 
15-03-21,90,98,71,66,118
14-03-21,126,94,63,81,51
13-03-21,119,111,73,78, 
12-03-21,99,109,73,68, 
11-03-21,105,101,14,75,104
10-03-21,103,103,53,88,133
09-03-21,91,103,88,85, 
08-03-21,113,97,90,88,51
07-03-21,146,103,90,140, 
06-03-21,104,114,69,189,51
05-03-21,112,106,69,88, 
04-03-21,106,105,71,93,118
03-03-21,130,103,71,79,51
02-03-21,107,100,80,69, 
01-03-21,92,90,110,81,118
28-02-21,102,93,110,68,51
27-02-21,95,96,46,54, 
26-02-21,124,97,96,70,104
25-02-21,174,109,96,53,51
24-02-21,164,121,65,33,51
23-02-21,155,118,42,52,51
22-02-21,137,115,34,57,51
21-02-21,147,110,46,44,51
20-02-21,138,113,46,41, 
19-02-21,105,105,36,38,51
18-02-21,139,92,32,32,51
17-02-21,143,111,30,39,51
16-02-21,190,118,30,51, 
15-02-21,240,126,48,50,51
14-02-21,279,143,75,47, 
13-02-21,225,155,75,54, 
12-02-21,177,138,57,62,77
11-02-21,170,123,55,43, 
10-02-21,137,120,48,41,51
09-02-21,149,110,46,43,51
08-02-21,161,114,51,31, 
07-02-21,119,118,51,44,51
06-02-21,156,105,46,50, 
05-02-21,181,116, , , 
04-02-21,183,123,36,26,51
03-02-21,168,124,38,39,51
02-02-21,171,119,42,37,51
01-02-21,145,120,42,51, 
31-01-21,148,113,46,50,51
30-01-21,177,113,46,47,51
29-01-21,194,122,42,43,51
28-01-21,158,127,46,49,51
27-01-21,185,112,46,52,51
26-01-21,171,114,44,50, 
25-01-21,127,122,38,38,51
24-01-21,168,107,46,47,104
23-01-21,183,120,46,53,51
22-01-21,127,124,46,55, 
21-01-21,114,106,46,47, 
20-01-21,159,100,30,46,51
19-01-21,151,117,36,51,51
18-01-21,131,114,40,41,51
17-01-21,126,108,46,43,51
16-01-21,125,107,46,49,51
15-01-21,123,107,46,43,51
14-01-21,121,105,36,39, 
13-01-21,123,103,36,36,51
12-01-21,93,104,36,53, 
11-01-21,107,91,32,52,51
10-01-21,107,98,32,60,51
09-01-21,76,95,26,59,51
08-01-21,118,75,12,46, 
07-01-21,162,92,28,49,51
06-01-21,171,116,28,61,51
05-01-21,193,120,12,63,104
04-01-21,226,127,48,101, 
03-01-21,212,139,48,101,51
02-01-21,199,135,36,52,51
01-01-21,216,130,48,61, 
31-12-20,224,135,48,57,51
30-12-20,186,139,48,51,51
29-12-20,155,126,48,47,51
28-12-20,226,116,48,37,51
27-12-20,270,138,96,39,51
26-12-20,230,152,96,36, 
25-12-20,226,139,55,37,51
24-12-20,219,138,53,48,51
23-12-20,191,135,53,58, 
