date,pm25,pm10,o3,no2,co
2015-07-09, ,24,37,12,20
2015-07-10,21,25,37,12,24
2015-07-11,23,29,10,13,30
2015-07-12,37,34,28,14,30
2015-07-13,37,40,26,13,28
2015-07-14,38,47,21,13,28
2015-07-15,39,46,22,14,25
2015-07-16,34,71,22,14,22
2015-07-17,31,34,27,13,9
2015-07-18,31,26,27,13,9
2015-07-19,31,22,28,10,12
2015-07-20,26,22,22,17,15
2015-07-21,24,20,22,18,12
2015-07-22,20,21,27,16,13
2015-07-23,21,22,17,19,14
2015-07-24,21,21,29,18,11
2015-07-25,20,21,31,13,10
2015-07-26,24,21,26,13,11
2015-07-27,23,19,30,18,10
2015-07-28,22,21,24,16,10
2015-07-29,25,19,29,19,9
2015-07-30,23,19,17,16,12
2015-07-31,21,19,17,15,11
2015-08-01,20,23,31,11,8
2015-08-02,23,21,31,11,13
2015-08-03,26,21,19,16,35
2015-08-04,23,22,19,14,36
2015-08-05,21,23, ,14, 
2015-08-06, ,18, ,15, 
2015-08-07,14,21, ,17, 
2015-08-08,18, , , , 
2015-08-09,,,,,
2015-08-10,,,,,
2015-08-11,,,,,
2015-08-12,,,,,
2015-08-13, ,59,38,26,21
2015-08-14,44,63,38,26,21
2015-08-15,43,64, ,27, 
2015-08-16,,,,,
2015-08-17, ,56,48,23,10
2015-08-18,47,57,51,23,11
2015-08-19,49, , , , 
2015-08-20,,,,,
2015-08-21,,,,,
2015-08-22,,,,,
2015-08-23, ,31,34,38,19
2015-08-24,18,32,27,33,18
2015-08-25,23,34,50,26,21
2015-08-26,26,37,30,24,17
2015-08-27,31,34,19,23,20
2015-08-28,25,34,10,26,20
2015-08-29,23, ,10,26, 
2015-08-30,23,36,48,27,25
2015-08-31,36,37,47,31,26
2015-09-01,39, , , , 
2015-09-02,,,,,
2015-09-03, ,47,42,20,23
2015-09-04,55,52,33,31,6
2015-09-05,68,54,28,35,4
2015-09-06,74, , , , 
2015-09-07, ,41,32,21, 
2015-09-08,50,41,32,21, 
2015-09-09,50, , , , 
2015-09-10, ,29,22,18, 
2015-09-11,38,30,23,18, 
2015-09-12,38, , , , 
2015-09-13, ,41,37,10,4
2015-09-14,34,40,14,11,4
2015-09-15,32,37,16,21,10
2015-09-16,30,37,14,22,10
2015-09-17,31, ,29,9, 
2015-09-18,25,35,27,18, 
